CALLER, CALLEE, CALLTYPE
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscCheckPointer, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscCheckPointer, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscObjectComm, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,PetscObjectQueryFunction_Private, DIRECT
PetscDualSpaceRefinedSetCellSpaces,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscDualSpace*, %struct._p_PetscDualSpace**)*, INDIRECT 
PetscDualSpaceRefinedSetCellSpaces,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces,printf, DIRECT
PetscDualSpaceRefinedSetCellSpaces,printf, DIRECT
PetscDualSpaceCreate_Refined,PetscError, DIRECT
PetscDualSpaceCreate_Refined,PetscCheckPointer, DIRECT
PetscDualSpaceCreate_Refined,PetscError, DIRECT
PetscDualSpaceCreate_Refined,PetscError, DIRECT
PetscDualSpaceCreate_Refined,PetscError, DIRECT
PetscDualSpaceCreate_Refined,PetscMallocA, DIRECT
PetscDualSpaceCreate_Refined,PetscLogObjectMemory, DIRECT
PetscDualSpaceCreate_Refined,PetscError, DIRECT
PetscDualSpaceCreate_Refined,printf, DIRECT
PetscDualSpaceCreate_Refined,printf, DIRECT
PetscDualSpaceCreate_Refined,PetscObjectComposeFunction_Private, DIRECT
PetscDualSpaceCreate_Refined,PetscError, DIRECT
PetscDualSpaceCreate_Refined,printf, DIRECT
PetscDualSpaceCreate_Refined,printf, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscObjectComm, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,DMPlexGetChart, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscMallocA, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,DMPlexGetHeightStratum, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscObjectReference, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscDualSpaceDestroy, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,PetscError, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,printf, DIRECT
PetscDualSpaceRefinedSetCellSpaces_Refined,printf, DIRECT
PetscDualSpaceDestroy_Refined,PetscObjectComposeFunction_Private, DIRECT
PetscDualSpaceDestroy_Refined,PetscError, DIRECT
PetscDualSpaceDestroy_Refined,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PetscDualSpaceDestroy_Refined,PetscError, DIRECT
PetscDualSpaceDestroy_Refined,printf, DIRECT
PetscDualSpaceDestroy_Refined,printf, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscCheckPointer, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscCheckPointer, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscObjectTypeCompare, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,PetscDualSpaceRefinedView_Ascii, DIRECT
PetscDualSpaceView_Refined,PetscError, DIRECT
PetscDualSpaceView_Refined,printf, DIRECT
PetscDualSpaceView_Refined,printf, DIRECT
PetscDualSpaceSetUp_Refined,PetscDualSpaceGetDM, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetDepth, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetChart, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetHeightStratum, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscObjectComm, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscObjectComm, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetHeightStratum, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscObjectComm, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscDualSpaceGetUniform, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetHeightStratum, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetConeSize, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetCone, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,DMPlexGetCone, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscDualSpaceGetPointSubspace, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscObjectReference, DIRECT
PetscDualSpaceSetUp_Refined,PetscError, DIRECT
PetscDualSpaceSetUp_Refined,PetscDualSpaceGetSection, DIRECT
