CALLER, CALLEE, CALLTYPE
petscdualspaceview_,PetscDualSpaceView, DIRECT
petscdualspacesetfromoptions_,PetscDualSpaceSetFromOptions, DIRECT
petscdualspacesetup_,PetscDualSpaceSetUp, DIRECT
petscdualspacedestroy_,PetscDualSpaceDestroy, DIRECT
petscdualspacecreate_,MPI_Comm_f2c, DIRECT
petscdualspacecreate_,PetscDualSpaceCreate, DIRECT
petscdualspaceduplicate_,PetscDualSpaceDuplicate, DIRECT
petscdualspacegetdm_,PetscDualSpaceGetDM, DIRECT
petscdualspacesetdm_,PetscDualSpaceSetDM, DIRECT
petscdualspacegetorder_,PetscDualSpaceGetOrder, DIRECT
petscdualspacesetorder_,PetscDualSpaceSetOrder, DIRECT
petscdualspacegetnumcomponents_,PetscDualSpaceGetNumComponents, DIRECT
petscdualspacesetnumcomponents_,PetscDualSpaceSetNumComponents, DIRECT
petscdualspacegetfunctional_,PetscDualSpaceGetFunctional, DIRECT
petscdualspacegetdimension_,PetscDualSpaceGetDimension, DIRECT
petscdualspacegetinteriordimension_,PetscDualSpaceGetInteriorDimension, DIRECT
petscdualspacegetuniform_,PetscDualSpaceGetUniform, DIRECT
petscdualspacegetsection_,PetscDualSpaceGetSection, DIRECT
petscdualspacecreatereferencecell_,PetscDualSpaceCreateReferenceCell, DIRECT
petscdualspacegetalldata_,PetscDualSpaceGetAllData, DIRECT
petscdualspacecreatealldatadefault_,PetscDualSpaceCreateAllDataDefault, DIRECT
petscdualspacegetinteriordata_,PetscDualSpaceGetInteriorData, DIRECT
petscdualspacecreateinteriordatadefault_,PetscDualSpaceCreateInteriorDataDefault, DIRECT
petscdualspacegetheightsubspace_,PetscDualSpaceGetHeightSubspace, DIRECT
petscdualspacegetpointsubspace_,PetscDualSpaceGetPointSubspace, DIRECT
petscdualspacegetformdegree_,PetscDualSpaceGetFormDegree, DIRECT
petscdualspacesetformdegree_,PetscDualSpaceSetFormDegree, DIRECT
petscdualspacegetderahm_,PetscDualSpaceGetDeRahm, DIRECT
