CALLER, CALLEE, CALLTYPE
petscspaceviewfromoptions_,PetscMallocA, DIRECT
petscspaceviewfromoptions_,PetscStrncpy, DIRECT
petscspaceviewfromoptions_,PetscError, DIRECT
petscspaceviewfromoptions_,PetscSpaceViewFromOptions, DIRECT
petscspaceviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
petscdualspaceviewfromoptions_,PetscMallocA, DIRECT
petscdualspaceviewfromoptions_,PetscStrncpy, DIRECT
petscdualspaceviewfromoptions_,PetscError, DIRECT
petscdualspaceviewfromoptions_,PetscDualSpaceViewFromOptions, DIRECT
petscdualspaceviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
petscfeviewfromoptions_,PetscMallocA, DIRECT
petscfeviewfromoptions_,PetscStrncpy, DIRECT
petscfeviewfromoptions_,PetscError, DIRECT
petscfeviewfromoptions_,PetscFEViewFromOptions, DIRECT
petscfeviewfromoptions_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
