CALLER, CALLEE, CALLTYPE
petscdssetfromoptions_,PetscDSSetFromOptions, DIRECT
petscdsdestroy_,PetscDSDestroy, DIRECT
petscdscreate_,MPI_Comm_f2c, DIRECT
petscdscreate_,PetscDSCreate, DIRECT
petscdsgetnumfields_,PetscDSGetNumFields, DIRECT
petscdsgetspatialdimension_,PetscDSGetSpatialDimension, DIRECT
petscdsgetcoordinatedimension_,PetscDSGetCoordinateDimension, DIRECT
petscdssetcoordinatedimension_,PetscDSSetCoordinateDimension, DIRECT
petscdsgethybrid_,PetscDSGetHybrid, DIRECT
petscdssethybrid_,PetscDSSetHybrid, DIRECT
petscdsgettotaldimension_,PetscDSGetTotalDimension, DIRECT
petscdsgettotalcomponents_,PetscDSGetTotalComponents, DIRECT
petscdsgetdiscretization_,PetscDSGetDiscretization, DIRECT
petscdssetdiscretization_,PetscDSSetDiscretization, DIRECT
petscdsgetweakform_,PetscDSGetWeakForm, DIRECT
petscdssetweakform_,PetscDSSetWeakForm, DIRECT
petscdsadddiscretization_,PetscDSAddDiscretization, DIRECT
petscdsgetquadrature_,PetscDSGetQuadrature, DIRECT
petscdsgetimplicit_,PetscDSGetImplicit, DIRECT
petscdssetimplicit_,PetscDSSetImplicit, DIRECT
petscdsgetjetdegree_,PetscDSGetJetDegree, DIRECT
petscdssetjetdegree_,PetscDSSetJetDegree, DIRECT
petscdshasbdjacobian_,PetscDSHasBdJacobian, DIRECT
petscdshasbdjacobianpreconditioner_,PetscDSHasBdJacobianPreconditioner, DIRECT
petscdsgetfieldindex_,PetscDSGetFieldIndex, DIRECT
petscdsgetfieldsize_,PetscDSGetFieldSize, DIRECT
petscdsgetfieldoffset_,PetscDSGetFieldOffset, DIRECT
petscdsgetdimensions_,PetscDSGetDimensions, DIRECT
petscdsgetcomponents_,PetscDSGetComponents, DIRECT
petscdsgetcomponentoffset_,PetscDSGetComponentOffset, DIRECT
petscdsgetcomponentoffsets_,PetscDSGetComponentOffsets, DIRECT
petscdsgetcomponentderivativeoffsets_,PetscDSGetComponentDerivativeOffsets, DIRECT
petscdsgetnumboundary_,PetscDSGetNumBoundary, DIRECT
petscdscopyboundary_,PetscDSCopyBoundary, DIRECT
petscdsdestroyboundary_,PetscDSDestroyBoundary, DIRECT
petscdsselectdiscretizations_,PetscDSSelectDiscretizations, DIRECT
petscdsselectequations_,PetscDSSelectEquations, DIRECT
petscdscopyequations_,PetscDSCopyEquations, DIRECT
petscdscopyconstants_,PetscDSCopyConstants, DIRECT
petscdscopyexactsolutions_,PetscDSCopyExactSolutions, DIRECT
