CALLER, CALLEE, CALLTYPE
petscquadraturecreate_,MPI_Comm_f2c, DIRECT
petscquadraturecreate_,PetscQuadratureCreate, DIRECT
petscquadratureduplicate_,PetscQuadratureDuplicate, DIRECT
petscquadraturedestroy_,PetscQuadratureDestroy, DIRECT
petscquadraturegetorder_,PetscQuadratureGetOrder, DIRECT
petscquadraturesetorder_,PetscQuadratureSetOrder, DIRECT
petscquadraturegetnumcomponents_,PetscQuadratureGetNumComponents, DIRECT
petscquadraturesetnumcomponents_,PetscQuadratureSetNumComponents, DIRECT
petscquadraturepushforward_,PetscQuadraturePushForward, DIRECT
petscdtjacobinorm_,PetscDTJacobiNorm, DIRECT
petscdtjacobievaljet_,PetscDTJacobiEvalJet, DIRECT
petscdtjacobieval_,PetscDTJacobiEval, DIRECT
petscdtlegendreeval_,PetscDTLegendreEval, DIRECT
petscdtindextogradedorder_,PetscDTIndexToGradedOrder, DIRECT
petscdtgradedordertoindex_,PetscDTGradedOrderToIndex, DIRECT
petscdtpkdevaljet_,PetscDTPKDEvalJet, DIRECT
petscdtgaussjacobiquadrature_,PetscDTGaussJacobiQuadrature, DIRECT
petscdtgausslobattojacobiquadrature_,PetscDTGaussLobattoJacobiQuadrature, DIRECT
petscdtgaussquadrature_,PetscDTGaussQuadrature, DIRECT
petscdtgausstensorquadrature_,PetscDTGaussTensorQuadrature, DIRECT
petscdtstroudconicalquadrature_,PetscDTStroudConicalQuadrature, DIRECT
petscdttanhsinhtensorquadrature_,PetscDTTanhSinhTensorQuadrature, DIRECT
petscdtreconstructpoly_,PetscDTReconstructPoly, DIRECT
petscdtindextobary_,PetscDTIndexToBary, DIRECT
petscdtbarytoindex_,PetscDTBaryToIndex, DIRECT
