CALLER, CALLEE, CALLTYPE
petscfeview_,PETSC_VIEWER_DRAW_, DIRECT
petscfeview_,PETSC_VIEWER_DRAW_, DIRECT
petscfeview_,PETSC_VIEWER_STDOUT_, DIRECT
petscfeview_,PETSC_VIEWER_STDOUT_, DIRECT
petscfeview_,PETSC_VIEWER_STDERR_, DIRECT
petscfeview_,PETSC_VIEWER_STDERR_, DIRECT
petscfeview_,PETSC_VIEWER_BINARY_, DIRECT
petscfeview_,PETSC_VIEWER_BINARY_, DIRECT
petscfeview_,PETSC_VIEWER_BINARY_, DIRECT
petscfeview_,PETSC_VIEWER_BINARY_, DIRECT
petscfeview_,PETSC_VIEWER_SOCKET_, DIRECT
petscfeview_,PETSC_VIEWER_SOCKET_, DIRECT
petscfeview_,PetscFEView, DIRECT
petscfecreatedefault_,PetscMallocA, DIRECT
petscfecreatedefault_,PetscStrncpy, DIRECT
petscfecreatedefault_,MPI_Comm_f2c, DIRECT
petscfecreatedefault_,PetscFECreateDefault, DIRECT
petscfecreatedefault_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
