CALLER, CALLEE, CALLTYPE
DMFieldCreate_DS,PetscMallocA, DIRECT
DMFieldCreate_DS,PetscLogObjectMemory, DIRECT
DMFieldCreate_DS,PetscError, DIRECT
DMFieldCreate_DS,printf, DIRECT
DMFieldCreate_DS,printf, DIRECT
DMFieldCreate_DS,printf, DIRECT
DMFieldCreate_DS,printf, DIRECT
DMFieldCreateDS,DMGetLocalSection, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSectionGetFieldComponents, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMGetNumFields, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMGetField, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscObjectGetClassId, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscObjectComm, DIRECT
DMFieldCreateDS,DMPlexGetVTKCellHeight, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMPlexGetHeightStratum, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMGetDimension, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMPlexGetConeSize, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,MPI_Comm_size, DIRECT
DMFieldCreateDS,MPI_Allreduce, DIRECT
DMFieldCreateDS,MPI_Error_string, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceCreate, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceSetType, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceSetDegree, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceSetNumComponents, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceSetNumVariables, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpacePolynomialSetTensor, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceSetUp, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceCreate, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceSetType, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceCreateReferenceCell, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceSetDM, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMDestroy, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceSetNumComponents, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceSetOrder, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceLagrangeSetTensor, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceSetUp, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFECreate, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetType, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetBasisSpace, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetDualSpace, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetNumComponents, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetUp, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscSpaceDestroy, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDualSpaceDestroy, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDTStroudConicalQuadrature, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDTStroudConicalQuadrature, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDTGaussTensorQuadrature, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscDTGaussTensorQuadrature, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetQuadrature, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFESetFaceQuadrature, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscQuadratureDestroy, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscQuadratureDestroy, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscObjectReference, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscObjectGetClassId, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscFEGetNumComponents, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscObjectComm, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMFieldCreate, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMFieldSetType, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,DMGetDimension, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscMallocA, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,PetscObjectReference, DIRECT
DMFieldCreateDS,PetscError, DIRECT
DMFieldCreateDS,printf, DIRECT
DMFieldCreateDS,printf, DIRECT
DMFieldDestroy_DS,VecDestroy, DIRECT
DMFieldDestroy_DS,PetscError, DIRECT
DMFieldDestroy_DS,PetscObjectDereference, DIRECT
DMFieldDestroy_DS,PetscError, DIRECT
DMFieldDestroy_DS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMFieldDestroy_DS,PetscError, DIRECT
DMFieldDestroy_DS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMFieldDestroy_DS,PetscError, DIRECT
DMFieldDestroy_DS,printf, DIRECT
DMFieldDestroy_DS,printf, DIRECT
DMFieldEvaluate_DS,DMGetLocalSection, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMFieldDSGetHeightDisc, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscObjectGetClassId, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscFEGetDimension, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMGetCoordinateDim, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMGetDimension, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMLocatePoints, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFGetGraph, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscObjectComm, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFComputeDegreeBegin, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFComputeDegreeEnd, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscMallocA, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscMallocA, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscMallocA, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscMallocA, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_contiguous, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_commit, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,VecGetArrayRead, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFGatherBegin, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFGatherEnd, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,VecRestoreArrayRead, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMPlexCoordinatesToReference, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscFECreateTabulation, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscQuadratureCreate, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscMallocA, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscQuadratureSetData, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMPlexComputeCellGeometryFEM, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscQuadratureDestroy, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMPlexVecGetClosure, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,DMPlexVecRestoreClosure, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscTabulationDestroy, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_contiguous, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_commit, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFScatterBegin, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFScatterEnd, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_free, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_contiguous, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_commit, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFScatterBegin, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFScatterEnd, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_free, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_contiguous, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,MPI_Type_commit, DIRECT
DMFieldEvaluate_DS,MPI_Error_string, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
DMFieldEvaluate_DS,PetscSFScatterBegin, DIRECT
DMFieldEvaluate_DS,PetscError, DIRECT
