CALLER, CALLEE, CALLTYPE
DMCompositeSetCoupling,PetscObjectTypeCompare, DIRECT
DMCompositeSetCoupling,PetscError, DIRECT
DMCompositeSetCoupling,PetscObjectComm, DIRECT
DMCompositeSetCoupling,PetscError, DIRECT
DMCompositeSetCoupling,printf, DIRECT
DMCompositeSetCoupling,printf, DIRECT
DMDestroy_Composite,DMDestroy, DIRECT
DMDestroy_Composite,PetscError, DIRECT
DMDestroy_Composite,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMDestroy_Composite,PetscError, DIRECT
DMDestroy_Composite,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMDestroy_Composite,PetscError, DIRECT
DMDestroy_Composite,PetscObjectComposeFunction_Private, DIRECT
DMDestroy_Composite,PetscError, DIRECT
DMDestroy_Composite,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMDestroy_Composite,PetscError, DIRECT
DMDestroy_Composite,printf, DIRECT
DMDestroy_Composite,printf, DIRECT
DMView_Composite,PetscObjectTypeCompare, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPrintf, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPrintf, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPushTab, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPrintf, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPushTab, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,DMView, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPopTab, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,PetscViewerASCIIPopTab, DIRECT
DMView_Composite,PetscError, DIRECT
DMView_Composite,printf, DIRECT
DMView_Composite,printf, DIRECT
DMSetUp_Composite,PetscObjectComm, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutCreate, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutSetLocalSize, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutSetSize, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutSetBlockSize, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutSetUp, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutGetSize, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutGetRange, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscLayoutDestroy, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscObjectComm, DIRECT
DMSetUp_Composite,MPI_Comm_rank, DIRECT
DMSetUp_Composite,MPI_Error_string, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscObjectComm, DIRECT
DMSetUp_Composite,MPI_Comm_size, DIRECT
DMSetUp_Composite,MPI_Error_string, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscMallocA, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,PetscObjectComm, DIRECT
DMSetUp_Composite,MPI_Comm_size, DIRECT
DMSetUp_Composite,PetscObjectComm, DIRECT
DMSetUp_Composite,MPI_Allgather, DIRECT
DMSetUp_Composite,MPI_Error_string, DIRECT
DMSetUp_Composite,PetscError, DIRECT
DMSetUp_Composite,printf, DIRECT
DMSetUp_Composite,printf, DIRECT
DMCompositeGetNumberDM,PetscCheckPointer, DIRECT
DMCompositeGetNumberDM,PetscError, DIRECT
DMCompositeGetNumberDM,PetscError, DIRECT
DMCompositeGetNumberDM,PetscError, DIRECT
DMCompositeGetNumberDM,PetscObjectTypeCompare, DIRECT
DMCompositeGetNumberDM,PetscError, DIRECT
DMCompositeGetNumberDM,PetscObjectComm, DIRECT
DMCompositeGetNumberDM,PetscError, DIRECT
DMCompositeGetNumberDM,printf, DIRECT
DMCompositeGetNumberDM,printf, DIRECT
DMCompositeGetAccess,PetscCheckPointer, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscCheckPointer, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscObjectTypeCompare, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,PetscObjectComm, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,DMSetUp, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,VecLockGet, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,DMGetGlobalVector, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,VecGetArrayRead, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,VecPlaceArray, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,VecLockReadPush, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
DMCompositeGetAccess,VecRestoreArrayRead, DIRECT
DMCompositeGetAccess,PetscError, DIRECT
