CALLER, CALLEE, CALLTYPE
VecDuplicate_MPI_DA,VecGetDM, DIRECT
VecDuplicate_MPI_DA,PetscError, DIRECT
VecDuplicate_MPI_DA,DMCreateGlobalVector, DIRECT
VecDuplicate_MPI_DA,PetscError, DIRECT
VecDuplicate_MPI_DA,VecGetLayout, DIRECT
VecDuplicate_MPI_DA,PetscError, DIRECT
VecDuplicate_MPI_DA,VecSetLayout, DIRECT
VecDuplicate_MPI_DA,PetscError, DIRECT
VecDuplicate_MPI_DA,printf, DIRECT
VecDuplicate_MPI_DA,printf, DIRECT
DMCreateGlobalVector_DA,PetscCheckPointer, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,PetscCheckPointer, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,PetscObjectComm, DIRECT
DMCreateGlobalVector_DA,VecCreate, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetSizes, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetBlockSize, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetType, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetDM, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetLocalToGlobalMapping, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetOperation, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetOperation, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,VecSetOperation, DIRECT
DMCreateGlobalVector_DA,PetscError, DIRECT
DMCreateGlobalVector_DA,printf, DIRECT
DMCreateGlobalVector_DA,printf, DIRECT
DMDACreateNaturalVector,PetscCheckPointer, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscObjectTypeCompare, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscCheckPointer, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscObjectGetReference, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscObjectReference, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,VecDuplicate, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscObjectComm, DIRECT
DMDACreateNaturalVector,VecCreate, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,VecSetSizes, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,VecSetBlockSize, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,VecSetType, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,PetscObjectReference, DIRECT
DMDACreateNaturalVector,PetscError, DIRECT
DMDACreateNaturalVector,printf, DIRECT
DMDACreateNaturalVector,printf, DIRECT
