CALLER, CALLEE, CALLTYPE
DMDAConvertToCell,PetscObjectComm, DIRECT
DMDAConvertToCell,PetscError, DIRECT
DMDAConvertToCell,PetscObjectComm, DIRECT
DMDAConvertToCell,PetscError, DIRECT
DMDAConvertToCell,PetscObjectComm, DIRECT
DMDAConvertToCell,PetscError, DIRECT
DMDAConvertToCell,printf, DIRECT
DMDAConvertToCell,printf, DIRECT
private_DMDALocatePointsIS_2D_Regular,DMDAGetCorners, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,DMDAGetGhostCorners, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,DMGetCoordinatesLocal, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,VecGetArrayRead, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,VecRestoreArrayRead, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,DMGetBoundingBox, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,VecGetLocalSize, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,VecGetBlockSize, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscMallocA, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,VecGetArrayRead, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,VecRestoreArrayRead, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,ISCreateGeneral, DIRECT
private_DMDALocatePointsIS_2D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_2D_Regular,printf, DIRECT
private_DMDALocatePointsIS_2D_Regular,printf, DIRECT
private_DMDALocatePointsIS_3D_Regular,DMDAGetCorners, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,DMDAGetGhostCorners, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,DMGetCoordinatesLocal, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,VecGetArrayRead, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,VecRestoreArrayRead, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,DMGetBoundingBox, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,VecGetLocalSize, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,VecGetBlockSize, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscMallocA, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,VecGetArrayRead, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,VecRestoreArrayRead, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,ISCreateGeneral, DIRECT
private_DMDALocatePointsIS_3D_Regular,PetscError, DIRECT
private_DMDALocatePointsIS_3D_Regular,printf, DIRECT
private_DMDALocatePointsIS_3D_Regular,printf, DIRECT
DMLocatePoints_DA_Regular,VecGetBlockSize, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,PetscObjectComm, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,private_DMDALocatePointsIS_2D_Regular, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,private_DMDALocatePointsIS_3D_Regular, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,PetscObjectComm, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,VecGetLocalSize, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,VecGetBlockSize, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,PetscMallocA, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,ISGetIndices, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,ISRestoreIndices, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,PetscSFSetGraph, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,ISDestroy, DIRECT
DMLocatePoints_DA_Regular,PetscError, DIRECT
DMLocatePoints_DA_Regular,printf, DIRECT
DMLocatePoints_DA_Regular,printf, DIRECT
