CALLER, CALLEE, CALLTYPE
DMDAGetNatural_Private,PetscMallocA, DIRECT
DMDAGetNatural_Private,PetscError, DIRECT
DMDAGetNatural_Private,PetscObjectComm, DIRECT
DMDAGetNatural_Private,ISCreateGeneral, DIRECT
DMDAGetNatural_Private,PetscError, DIRECT
DMDAGetNatural_Private,printf, DIRECT
DMDAGetNatural_Private,printf, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscCheckPointer, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscObjectTypeCompare, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscObjectTypeCompare, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscObjectComm, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscObjectTypeCompare, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscObjectComm, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,printf, DIRECT
DMDASetAOType,printf, DIRECT
DMDASetAOType,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,PetscStrallocpy, DIRECT
DMDASetAOType,PetscError, DIRECT
DMDASetAOType,printf, DIRECT
DMDASetAOType,printf, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscCheckPointer, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscObjectTypeCompare, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscCheckPointer, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscObjectTypeCompare, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscObjectComm, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,DMDAGetNatural_Private, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscObjectComm, DIRECT
DMDAGetAO,ISCreateStride, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscObjectComm, DIRECT
DMDAGetAO,AOCreate, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,AOSetIS, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,AOSetType, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,PetscLogObjectParent, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,ISDestroy, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,ISDestroy, DIRECT
DMDAGetAO,PetscError, DIRECT
DMDAGetAO,printf, DIRECT
DMDAGetAO,printf, DIRECT
