CALLER, CALLEE, CALLTYPE
DMLocalToLocalCreate_DA,PetscCheckPointer, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,printf, DIRECT
DMLocalToLocalCreate_DA,printf, DIRECT
DMLocalToLocalCreate_DA,VecScatterCopy, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscLogObjectParent, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscMallocA, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscMallocA, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscMallocA, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscObjectComm, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,VecScatterRemap, DIRECT
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMLocalToLocalCreate_DA,PetscError, DIRECT
DMLocalToLocalCreate_DA,printf, DIRECT
DMLocalToLocalCreate_DA,printf, DIRECT
DMLocalToLocalBegin_DA,PetscCheckPointer, DIRECT
DMLocalToLocalBegin_DA,PetscError, DIRECT
DMLocalToLocalBegin_DA,PetscError, DIRECT
DMLocalToLocalBegin_DA,PetscError, DIRECT
DMLocalToLocalBegin_DA,DMLocalToLocalCreate_DA, DIRECT
DMLocalToLocalBegin_DA,PetscError, DIRECT
DMLocalToLocalBegin_DA,VecScatterBegin, DIRECT
DMLocalToLocalBegin_DA,PetscError, DIRECT
DMLocalToLocalBegin_DA,printf, DIRECT
DMLocalToLocalBegin_DA,printf, DIRECT
DMLocalToLocalEnd_DA,PetscCheckPointer, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,PetscCheckPointer, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,VecScatterEnd, DIRECT
DMLocalToLocalEnd_DA,PetscError, DIRECT
DMLocalToLocalEnd_DA,printf, DIRECT
DMLocalToLocalEnd_DA,printf, DIRECT
