CALLER, CALLEE, CALLTYPE
dmdagetlocalinfof90_,DMDAGetLocalInfo, DIRECT
dmdavecgetarrayf901_,DMDAGetCorners, DIRECT
dmdavecgetarrayf901_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayf901_,DMDAGetInfo, DIRECT
dmdavecgetarrayf901_,VecGetLocalSize, DIRECT
dmdavecgetarrayf901_,VecGetArray, DIRECT
dmdavecgetarrayf901_,F90Array1dCreate, DIRECT
dmdavecrestorearrayf901_,F90Array1dAccess, DIRECT
dmdavecrestorearrayf901_,VecRestoreArray, DIRECT
dmdavecrestorearrayf901_,F90Array1dDestroy, DIRECT
dmdavecgetarrayf902_,DMDAGetCorners, DIRECT
dmdavecgetarrayf902_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayf902_,DMDAGetInfo, DIRECT
dmdavecgetarrayf902_,VecGetLocalSize, DIRECT
dmdavecgetarrayf902_,VecGetArray, DIRECT
dmdavecgetarrayf902_,F90Array2dCreate, DIRECT
dmdavecrestorearrayf902_,F90Array2dAccess, DIRECT
dmdavecrestorearrayf902_,VecRestoreArray, DIRECT
dmdavecrestorearrayf902_,F90Array2dDestroy, DIRECT
dmdavecgetarrayf903_,DMDAGetCorners, DIRECT
dmdavecgetarrayf903_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayf903_,DMDAGetInfo, DIRECT
dmdavecgetarrayf903_,VecGetLocalSize, DIRECT
dmdavecgetarrayf903_,VecGetArray, DIRECT
dmdavecgetarrayf903_,F90Array3dCreate, DIRECT
dmdavecrestorearrayf903_,F90Array3dAccess, DIRECT
dmdavecrestorearrayf903_,VecRestoreArray, DIRECT
dmdavecrestorearrayf903_,F90Array3dDestroy, DIRECT
dmdavecgetarrayf904_,DMDAGetCorners, DIRECT
dmdavecgetarrayf904_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayf904_,DMDAGetInfo, DIRECT
dmdavecgetarrayf904_,VecGetLocalSize, DIRECT
dmdavecgetarrayf904_,VecGetArray, DIRECT
dmdavecgetarrayf904_,F90Array4dCreate, DIRECT
dmdavecrestorearrayf904_,F90Array4dAccess, DIRECT
dmdavecrestorearrayf904_,VecRestoreArray, DIRECT
dmdavecrestorearrayf904_,F90Array4dDestroy, DIRECT
dmdavecgetarrayreadf901_,DMDAGetCorners, DIRECT
dmdavecgetarrayreadf901_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayreadf901_,DMDAGetInfo, DIRECT
dmdavecgetarrayreadf901_,VecGetLocalSize, DIRECT
dmdavecgetarrayreadf901_,VecGetArrayRead, DIRECT
dmdavecgetarrayreadf901_,F90Array1dCreate, DIRECT
dmdavecrestorearrayreadf901_,F90Array1dAccess, DIRECT
dmdavecrestorearrayreadf901_,VecRestoreArrayRead, DIRECT
dmdavecrestorearrayreadf901_,F90Array1dDestroy, DIRECT
dmdavecgetarrayreadf902_,DMDAGetCorners, DIRECT
dmdavecgetarrayreadf902_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayreadf902_,DMDAGetInfo, DIRECT
dmdavecgetarrayreadf902_,VecGetLocalSize, DIRECT
dmdavecgetarrayreadf902_,VecGetArrayRead, DIRECT
dmdavecgetarrayreadf902_,F90Array2dCreate, DIRECT
dmdavecrestorearrayreadf902_,F90Array2dAccess, DIRECT
dmdavecrestorearrayreadf902_,VecRestoreArrayRead, DIRECT
dmdavecrestorearrayreadf902_,F90Array2dDestroy, DIRECT
dmdavecgetarrayreadf903_,DMDAGetCorners, DIRECT
dmdavecgetarrayreadf903_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayreadf903_,DMDAGetInfo, DIRECT
dmdavecgetarrayreadf903_,VecGetLocalSize, DIRECT
dmdavecgetarrayreadf903_,VecGetArrayRead, DIRECT
dmdavecgetarrayreadf903_,F90Array3dCreate, DIRECT
dmdavecrestorearrayreadf903_,F90Array3dAccess, DIRECT
dmdavecrestorearrayreadf903_,VecRestoreArrayRead, DIRECT
dmdavecrestorearrayreadf903_,F90Array3dDestroy, DIRECT
dmdavecgetarrayreadf904_,DMDAGetCorners, DIRECT
dmdavecgetarrayreadf904_,DMDAGetGhostCorners, DIRECT
dmdavecgetarrayreadf904_,DMDAGetInfo, DIRECT
dmdavecgetarrayreadf904_,VecGetLocalSize, DIRECT
dmdavecgetarrayreadf904_,VecGetArrayRead, DIRECT
dmdavecgetarrayreadf904_,F90Array4dCreate, DIRECT
dmdavecrestorearrayreadf904_,F90Array4dAccess, DIRECT
dmdavecrestorearrayreadf904_,VecRestoreArrayRead, DIRECT
dmdavecrestorearrayreadf904_,F90Array4dDestroy, DIRECT
