CALLER, CALLEE, CALLTYPE
dmdagetneighbors_,DMDAGetNeighbors, DIRECT
dmdagetneighbors_,DMGetDimension, DIRECT
dmdagetneighbors_,PetscError, DIRECT
dmdagetneighbors_,PetscError, DIRECT
dmdagetneighbors_,PetscError, DIRECT
dmdagetneighbors_,printf, DIRECT
dmdagetneighbors_,printf, DIRECT
dmdagetownershipranges_,DMDAGetInfo, DIRECT
dmdagetownershipranges_,DMDAGetOwnershipRanges, DIRECT
dmdagetownershipranges_,PetscError, DIRECT
dmdagetrefinementfactor_,PetscError, DIRECT
dmdagetrefinementfactor_,PetscError, DIRECT
dmdagetrefinementfactor_,PetscError, DIRECT
dmdagetrefinementfactor_,DMDAGetRefinementFactor, DIRECT
