CALLER, CALLEE, CALLTYPE
DMForestRegisterType,printf, DIRECT
DMForestRegisterType,printf, DIRECT
DMForestRegisterType,DMForestRegisterType, DIRECT
DMForestRegisterType,PetscError, DIRECT
DMForestRegisterType,PetscRegisterFinalize, DIRECT
DMForestRegisterType,PetscError, DIRECT
DMForestRegisterType,printf, DIRECT
DMForestRegisterType,printf, DIRECT
DMForestRegisterType,PetscError, DIRECT
DMForestRegisterType,PetscMallocA, DIRECT
DMForestRegisterType,PetscError, DIRECT
DMForestRegisterType,PetscStrallocpy, DIRECT
DMForestRegisterType,PetscError, DIRECT
DMForestRegisterType,printf, DIRECT
DMForestRegisterType,printf, DIRECT
DMIsForest,PetscObjectTypeCompare, DIRECT
DMIsForest,PetscError, DIRECT
DMIsForest,printf, DIRECT
DMIsForest,printf, DIRECT
DMIsForest,printf, DIRECT
DMIsForest,printf, DIRECT
DMForestTemplate,PetscCheckPointer, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,PetscObjectComm, DIRECT
DMForestTemplate,DMCreate, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMGetType, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMSetType, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetBaseDM, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetBaseDM, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetTopology, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetTopology, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetAdjacencyDimension, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetAdjacencyDimension, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetPartitionOverlap, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetPartitionOverlap, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetMinimumRefinement, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetMinimumRefinement, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetMaximumRefinement, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetMaximumRefinement, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetAdaptivityStrategy, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetAdaptivityStrategy, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetGradeFactor, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetGradeFactor, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestGetBaseCoordinateMapping, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetBaseCoordinateMapping, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,EMPTYNAME = (->any pointer@i64 72) :: i32 (%struct._p_DM*, %struct._p_DM*)*, INDIRECT 
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMForestSetAdaptivityForest, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMCopyDisc, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMGetApplicationContext, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMSetApplicationContext, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMGetPeriodicity, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMSetPeriodicity, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMGetMatType, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,DMSetMatType, DIRECT
DMForestTemplate,PetscError, DIRECT
DMForestTemplate,printf, DIRECT
DMForestTemplate,printf, DIRECT
DMForestGetBaseDM,PetscCheckPointer, DIRECT
DMForestGetBaseDM,PetscError, DIRECT
DMForestGetBaseDM,PetscError, DIRECT
DMForestGetBaseDM,PetscError, DIRECT
DMForestGetBaseDM,PetscError, DIRECT
DMForestGetBaseDM,PetscCheckPointer, DIRECT
DMForestGetBaseDM,PetscError, DIRECT
DMForestGetBaseDM,printf, DIRECT
DMForestGetBaseDM,printf, DIRECT
DMForestSetBaseDM,PetscCheckPointer, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscObjectComm, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscObjectReference, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMDestroy, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscCheckPointer, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMGetDimension, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMSetDimension, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMGetCoordinateDim, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMSetCoordinateDim, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMGetPeriodicity, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMSetPeriodicity, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,DMSetPeriodicity, DIRECT
DMForestSetBaseDM,PetscError, DIRECT
DMForestSetBaseDM,printf, DIRECT
DMForestSetBaseDM,printf, DIRECT
DMForestGetTopology,PetscCheckPointer, DIRECT
DMForestGetTopology,PetscError, DIRECT
DMForestGetTopology,PetscError, DIRECT
DMForestGetTopology,PetscError, DIRECT
DMForestGetTopology,PetscError, DIRECT
DMForestGetTopology,PetscCheckPointer, DIRECT
DMForestGetTopology,PetscError, DIRECT
DMForestGetTopology,printf, DIRECT
DMForestGetTopology,printf, DIRECT
DMForestSetTopology,PetscCheckPointer, DIRECT
DMForestSetTopology,PetscError, DIRECT
DMForestSetTopology,PetscError, DIRECT
DMForestSetTopology,PetscError, DIRECT
DMForestSetTopology,PetscObjectComm, DIRECT
DMForestSetTopology,PetscError, DIRECT
DMForestSetTopology,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMForestSetTopology,PetscError, DIRECT
DMForestSetTopology,PetscStrallocpy, DIRECT
DMForestSetTopology,PetscError, DIRECT
DMForestSetTopology,printf, DIRECT
DMForestSetTopology,printf, DIRECT
DMForestGetAdjacencyDimension,PetscCheckPointer, DIRECT
DMForestGetAdjacencyDimension,PetscError, DIRECT
DMForestGetAdjacencyDimension,PetscError, DIRECT
DMForestGetAdjacencyDimension,PetscError, DIRECT
DMForestGetAdjacencyDimension,PetscError, DIRECT
DMForestGetAdjacencyDimension,PetscCheckPointer, DIRECT
DMForestGetAdjacencyDimension,PetscError, DIRECT
DMForestGetAdjacencyDimension,printf, DIRECT
DMForestGetAdjacencyDimension,printf, DIRECT
DMForestSetAdjacencyDimension,PetscCheckPointer, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,PetscObjectComm, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,PetscObjectComm, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,DMGetDimension, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,PetscObjectComm, DIRECT
DMForestSetAdjacencyDimension,PetscError, DIRECT
DMForestSetAdjacencyDimension,printf, DIRECT
DMForestSetAdjacencyDimension,printf, DIRECT
DMForestGetPartitionOverlap,PetscCheckPointer, DIRECT
DMForestGetPartitionOverlap,PetscError, DIRECT
DMForestGetPartitionOverlap,PetscError, DIRECT
DMForestGetPartitionOverlap,PetscError, DIRECT
DMForestGetPartitionOverlap,PetscError, DIRECT
DMForestGetPartitionOverlap,PetscCheckPointer, DIRECT
DMForestGetPartitionOverlap,PetscError, DIRECT
DMForestGetPartitionOverlap,printf, DIRECT
DMForestGetPartitionOverlap,printf, DIRECT
DMForestSetPartitionOverlap,PetscCheckPointer, DIRECT
DMForestSetPartitionOverlap,PetscError, DIRECT
DMForestSetPartitionOverlap,PetscError, DIRECT
DMForestSetPartitionOverlap,PetscError, DIRECT
DMForestSetPartitionOverlap,PetscObjectComm, DIRECT
DMForestSetPartitionOverlap,PetscError, DIRECT
DMForestSetPartitionOverlap,PetscObjectComm, DIRECT
DMForestSetPartitionOverlap,PetscError, DIRECT
DMForestSetPartitionOverlap,printf, DIRECT
DMForestSetPartitionOverlap,printf, DIRECT
DMForestGetMinimumRefinement,PetscCheckPointer, DIRECT
DMForestGetMinimumRefinement,PetscError, DIRECT
DMForestGetMinimumRefinement,PetscError, DIRECT
DMForestGetMinimumRefinement,PetscError, DIRECT
DMForestGetMinimumRefinement,PetscError, DIRECT
DMForestGetMinimumRefinement,PetscCheckPointer, DIRECT
DMForestGetMinimumRefinement,PetscError, DIRECT
DMForestGetMinimumRefinement,printf, DIRECT
DMForestGetMinimumRefinement,printf, DIRECT
DMForestSetMinimumRefinement,PetscCheckPointer, DIRECT
DMForestSetMinimumRefinement,PetscError, DIRECT
DMForestSetMinimumRefinement,PetscError, DIRECT
DMForestSetMinimumRefinement,PetscError, DIRECT
DMForestSetMinimumRefinement,PetscObjectComm, DIRECT
DMForestSetMinimumRefinement,PetscError, DIRECT
DMForestSetMinimumRefinement,printf, DIRECT
DMForestSetMinimumRefinement,printf, DIRECT
DMForestGetMaximumRefinement,PetscCheckPointer, DIRECT
DMForestGetMaximumRefinement,PetscError, DIRECT
DMForestGetMaximumRefinement,PetscError, DIRECT
DMForestGetMaximumRefinement,PetscError, DIRECT
