CALLER, CALLEE, CALLTYPE
dmnetworkgetplex_,DMNetworkGetPlex, DIRECT
dmnetworkgetnumsubnetworks_,DMNetworkGetNumSubNetworks, DIRECT
dmnetworksetnumsubnetworks_,DMNetworkSetNumSubNetworks, DIRECT
dmnetworkaddsubnetwork_,DMNetworkAddSubnetwork, DIRECT
dmnetworklayoutsetup_,DMNetworkLayoutSetUp, DIRECT
dmnetworkaddsharedvertices_,DMNetworkAddSharedVertices, DIRECT
dmnetworkgetvertexrange_,DMNetworkGetVertexRange, DIRECT
dmnetworkgetedgerange_,DMNetworkGetEdgeRange, DIRECT
dmnetworkgetglobaledgeindex_,DMNetworkGetGlobalEdgeIndex, DIRECT
dmnetworkgetglobalvertexindex_,DMNetworkGetGlobalVertexIndex, DIRECT
dmnetworkgetnumcomponents_,DMNetworkGetNumComponents, DIRECT
dmnetworkgetlocalvecoffset_,DMNetworkGetLocalVecOffset, DIRECT
dmnetworkgetglobalvecoffset_,DMNetworkGetGlobalVecOffset, DIRECT
dmnetworkgetedgeoffset_,DMNetworkGetEdgeOffset, DIRECT
dmnetworkgetvertexoffset_,DMNetworkGetVertexOffset, DIRECT
dmnetworkaddcomponent_,DMNetworkAddComponent, DIRECT
dmnetworkgetcomponent_,DMNetworkGetComponent, DIRECT
dmnetworkassemblegraphstructures_,DMNetworkAssembleGraphStructures, DIRECT
dmnetworkdistribute_,DMNetworkDistribute, DIRECT
dmnetworkissharedvertex_,DMNetworkIsSharedVertex, DIRECT
dmnetworkisghostvertex_,DMNetworkIsGhostVertex, DIRECT
dmnetworkhasjacobian_,DMNetworkHasJacobian, DIRECT
dmnetworkedgesetmatrix_,DMNetworkEdgeSetMatrix, DIRECT
dmnetworkvertexsetmatrix_,DMNetworkVertexSetMatrix, DIRECT
dmnetworkgetvertexlocaltoglobalordering_,DMNetworkGetVertexLocalToGlobalOrdering, DIRECT
dmnetworksetvertexlocaltoglobalordering_,DMNetworkSetVertexLocalToGlobalOrdering, DIRECT
dmnetworkcreateis_,DMNetworkCreateIS, DIRECT
dmnetworkcreatelocalis_,DMNetworkCreateLocalIS, DIRECT
