CALLER, CALLEE, CALLTYPE
DMSetFromOptions_Patch,PetscError, DIRECT
DMSetFromOptions_Patch,PetscCheckPointer, DIRECT
DMSetFromOptions_Patch,PetscError, DIRECT
DMSetFromOptions_Patch,PetscError, DIRECT
DMSetFromOptions_Patch,PetscError, DIRECT
DMSetFromOptions_Patch,PetscOptionsHead, DIRECT
DMSetFromOptions_Patch,PetscError, DIRECT
DMSetFromOptions_Patch,printf, DIRECT
DMSetFromOptions_Patch,printf, DIRECT
DMSetFromOptions_Patch,printf, DIRECT
DMSetFromOptions_Patch,printf, DIRECT
DMInitialize_Patch,printf, DIRECT
DMInitialize_Patch,printf, DIRECT
DMCreate_Patch,PetscError, DIRECT
DMCreate_Patch,PetscCheckPointer, DIRECT
DMCreate_Patch,PetscError, DIRECT
DMCreate_Patch,PetscError, DIRECT
DMCreate_Patch,PetscError, DIRECT
DMCreate_Patch,PetscMallocA, DIRECT
DMCreate_Patch,PetscLogObjectMemory, DIRECT
DMCreate_Patch,PetscError, DIRECT
DMCreate_Patch,DMInitialize_Patch, DIRECT
DMCreate_Patch,printf, DIRECT
DMCreate_Patch,printf, DIRECT
DMPatchCreate,PetscError, DIRECT
DMPatchCreate,PetscCheckPointer, DIRECT
DMPatchCreate,PetscError, DIRECT
DMPatchCreate,DMCreate, DIRECT
DMPatchCreate,PetscError, DIRECT
DMPatchCreate,DMSetType, DIRECT
DMPatchCreate,PetscError, DIRECT
DMPatchCreate,printf, DIRECT
DMPatchCreate,printf, DIRECT
DMPatchCreateGrid,DMPatchCreate, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMCreate, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMSetType, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMSetDimension, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMDASetSizes, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMDASetBoundaryType, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMDASetDof, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMDASetStencilType, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMDASetStencilWidth, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMPatchSetPatchSize, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,DMPatchSetCommSize, DIRECT
DMPatchCreateGrid,PetscError, DIRECT
DMPatchCreateGrid,printf, DIRECT
DMPatchCreateGrid,printf, DIRECT
