CALLER, CALLEE, CALLTYPE
dmplexgetcellfields_,ISGetLocalSize, DIRECT
dmplexgetcellfields_,DMPlexGetCellFields, DIRECT
dmplexgetcellfields_,DMGetDS, DIRECT
dmplexgetcellfields_,PetscDSGetTotalDimension, DIRECT
dmplexgetcellfields_,VecGetDM, DIRECT
dmplexgetcellfields_,DMGetDS, DIRECT
dmplexgetcellfields_,PetscDSGetTotalDimension, DIRECT
dmplexgetcellfields_,F90Array1dCreate, DIRECT
dmplexgetcellfields_,F90Array1dCreate, DIRECT
dmplexgetcellfields_,F90Array1dCreate, DIRECT
dmplexrestorecellfields_,F90Array1dAccess, DIRECT
dmplexrestorecellfields_,F90Array1dAccess, DIRECT
dmplexrestorecellfields_,F90Array1dAccess, DIRECT
dmplexrestorecellfields_,DMPlexRestoreCellFields, DIRECT
dmplexrestorecellfields_,F90Array1dDestroy, DIRECT
dmplexrestorecellfields_,F90Array1dDestroy, DIRECT
dmplexrestorecellfields_,F90Array1dDestroy, DIRECT
dmplexgetfacefields_,DMPlexGetFaceFields, DIRECT
dmplexgetfacefields_,DMGetDS, DIRECT
dmplexgetfacefields_,PetscDSGetTotalDimension, DIRECT
dmplexgetfacefields_,F90Array1dCreate, DIRECT
dmplexgetfacefields_,F90Array1dCreate, DIRECT
dmplexrestorefacefields_,F90Array1dAccess, DIRECT
dmplexrestorefacefields_,F90Array1dAccess, DIRECT
dmplexrestorefacefields_,DMPlexRestoreFaceFields, DIRECT
dmplexrestorefacefields_,F90Array1dDestroy, DIRECT
dmplexrestorefacefields_,F90Array1dDestroy, DIRECT
dmplexgetfacegeometry_,DMPlexGetFaceGeometry, DIRECT
dmplexgetfacegeometry_,F90Array1dCreate, DIRECT
dmplexgetfacegeometry_,F90Array1dCreate, DIRECT
dmplexrestorefacegeometry_,F90Array1dAccess, DIRECT
dmplexrestorefacegeometry_,F90Array1dAccess, DIRECT
dmplexrestorefacegeometry_,DMPlexRestoreFaceGeometry, DIRECT
dmplexrestorefacegeometry_,F90Array1dDestroy, DIRECT
dmplexrestorefacegeometry_,F90Array1dDestroy, DIRECT
