CALLER, CALLEE, CALLTYPE
dmplexcomputecellgeometryaffinefem_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryaffinefem_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryaffinefem_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryaffinefem_,DMPlexComputeCellGeometryAffineFEM, DIRECT
dmplexcomputecellgeometryfem_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryfem_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryfem_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryfem_,DMPlexComputeCellGeometryFEM, DIRECT
dmplexcomputecellgeometryfvm_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryfvm_,F90Array1dAccess, DIRECT
dmplexcomputecellgeometryfvm_,DMPlexComputeCellGeometryFVM, DIRECT
