CALLER, CALLEE, CALLTYPE
dmplexcellrefinerrefine_,DMPlexCellRefinerRefine, DIRECT
dmplexcellrefinergetaffinetransforms_,DMPlexCellRefinerGetAffineTransforms, DIRECT
dmplexcellrefinergetaffinefacetransforms_,DMPlexCellRefinerGetAffineFaceTransforms, DIRECT
dmplexcreateprocesssf_,DMPlexCreateProcessSF, DIRECT
dmplexcreatecoarsepointis_,DMPlexCreateCoarsePointIS, DIRECT
dmplexsetrefinementuniform_,DMPlexSetRefinementUniform, DIRECT
dmplexgetrefinementuniform_,DMPlexGetRefinementUniform, DIRECT
dmplexsetrefinementlimit_,DMPlexSetRefinementLimit, DIRECT
dmplexgetrefinementlimit_,DMPlexGetRefinementLimit, DIRECT
dmplexsetrefinementfunction_,DMPlexSetRefinementFunction, DIRECT
dmplexgetrefinementfunction_,DMPlexGetRefinementFunction, DIRECT
