CALLER, CALLEE, CALLTYPE
DMPlexRefine_Internal,DMGetCoordinatesLocalized, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMPlexGetRefinementLimit, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMPlexGetRefinementFunction, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,printf, DIRECT
DMPlexRefine_Internal,printf, DIRECT
DMPlexRefine_Internal,DMGetDimension, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMPlexGetHeightStratum, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscOptionsGetString, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscOptionsGetString, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscStrcmp, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,EMPTYNAME = (_n_PlexGeneratorFunctionList->any pointer@i64 16) :: i32 (%struct._p_DM*, %struct._p_DMLabel*, %struct._p_DM**)*, INDIRECT 
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscMallocA, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMPlexLabelToVolumeConstraint, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMPlexComputeCellGeometryFVM, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (double*, double*)*, INDIRECT 
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,EMPTYNAME = (_n_PlexGeneratorFunctionList->any pointer@i64 8) :: i32 (%struct._p_DM*, double*, %struct._p_DM**)*, INDIRECT 
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,PetscObjectComm, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMCopyDisc, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,DMLocalizeCoordinates, DIRECT
DMPlexRefine_Internal,PetscError, DIRECT
DMPlexRefine_Internal,printf, DIRECT
DMPlexRefine_Internal,printf, DIRECT
DMPlexLabelToVolumeConstraint,DMGetDimension, DIRECT
DMPlexLabelToVolumeConstraint,PetscError, DIRECT
DMPlexLabelToVolumeConstraint,DMPlexComputeCellGeometryFVM, DIRECT
DMPlexLabelToVolumeConstraint,PetscError, DIRECT
DMPlexLabelToVolumeConstraint,DMPlexGetTransitiveClosure, DIRECT
DMPlexLabelToVolumeConstraint,PetscError, DIRECT
DMPlexLabelToVolumeConstraint,DMLabelGetValue, DIRECT
DMPlexLabelToVolumeConstraint,PetscError, DIRECT
DMPlexLabelToVolumeConstraint,PetscError, DIRECT
DMPlexLabelToVolumeConstraint,DMPlexRestoreTransitiveClosure, DIRECT
DMPlexLabelToVolumeConstraint,DMPlexRestoreTransitiveClosure, DIRECT
DMPlexLabelToVolumeConstraint,PetscError, DIRECT
DMPlexLabelToVolumeConstraint,printf, DIRECT
DMPlexLabelToVolumeConstraint,printf, DIRECT
DMPlexCoarsen_Internal,DMGetCoordinatesLocalized, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexGetHeightStratum, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexGetDepthStratum, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexUninterpolate, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMGetDimension, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMGetCoordinateDM, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMGetLocalSection, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMGetCoordinatesLocal, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecCreateSeq, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecGetArray, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,PetscMallocA, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,MatCreateSeqDense, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,MatCreateVecs, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecSet, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexVecGetClosure, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,MatSetUnfactored, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexVecRestoreClosure, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,MatLUFactor, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,MatSolve, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecGetArrayRead, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexComputeCellGeometryFVM, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexGetCone, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexGetConeSize, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecRestoreArrayRead, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexGetSupport, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexGetSupportSize, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,DMPlexComputeCellGeometryFVM, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecRestoreArray, DIRECT
DMPlexCoarsen_Internal,PetscError, DIRECT
DMPlexCoarsen_Internal,VecDestroy, DIRECT
