CALLER, CALLEE, CALLTYPE
PetscViewerExodusIIGetId,PetscError, DIRECT
PetscViewerExodusIIGetId,PetscCheckPointer, DIRECT
PetscViewerExodusIIGetId,PetscError, DIRECT
PetscViewerExodusIIGetId,PetscError, DIRECT
PetscViewerExodusIIGetId,PetscError, DIRECT
PetscViewerExodusIIGetId,PetscObjectQueryFunction_Private, DIRECT
PetscViewerExodusIIGetId,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscViewer*, i32*)*, INDIRECT 
PetscViewerExodusIIGetId,PetscError, DIRECT
PetscViewerExodusIIGetId,printf, DIRECT
PetscViewerExodusIIGetId,printf, DIRECT
PetscViewerExodusIISetOrder,PetscError, DIRECT
PetscViewerExodusIISetOrder,PetscCheckPointer, DIRECT
PetscViewerExodusIISetOrder,PetscError, DIRECT
PetscViewerExodusIISetOrder,PetscError, DIRECT
PetscViewerExodusIISetOrder,PetscError, DIRECT
PetscViewerExodusIISetOrder,PetscObjectQueryFunction_Private, DIRECT
PetscViewerExodusIISetOrder,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscViewer*, i32)*, INDIRECT 
PetscViewerExodusIISetOrder,PetscError, DIRECT
PetscViewerExodusIISetOrder,printf, DIRECT
PetscViewerExodusIISetOrder,printf, DIRECT
PetscViewerExodusIIGetOrder,PetscError, DIRECT
PetscViewerExodusIIGetOrder,PetscCheckPointer, DIRECT
PetscViewerExodusIIGetOrder,PetscError, DIRECT
PetscViewerExodusIIGetOrder,PetscError, DIRECT
PetscViewerExodusIIGetOrder,PetscError, DIRECT
PetscViewerExodusIIGetOrder,PetscObjectQueryFunction_Private, DIRECT
PetscViewerExodusIIGetOrder,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscViewer*, i32*)*, INDIRECT 
PetscViewerExodusIIGetOrder,PetscError, DIRECT
PetscViewerExodusIIGetOrder,printf, DIRECT
PetscViewerExodusIIGetOrder,printf, DIRECT
PetscViewerExodusIIOpen,PetscViewerCreate, DIRECT
PetscViewerExodusIIOpen,PetscError, DIRECT
PetscViewerExodusIIOpen,PetscViewerSetType, DIRECT
PetscViewerExodusIIOpen,PetscError, DIRECT
PetscViewerExodusIIOpen,PetscViewerFileSetMode, DIRECT
PetscViewerExodusIIOpen,PetscError, DIRECT
PetscViewerExodusIIOpen,PetscViewerFileSetName, DIRECT
PetscViewerExodusIIOpen,PetscError, DIRECT
PetscViewerExodusIIOpen,PetscViewerSetFromOptions, DIRECT
PetscViewerExodusIIOpen,PetscError, DIRECT
PetscViewerExodusIIOpen,printf, DIRECT
PetscViewerExodusIIOpen,printf, DIRECT
DMPlexCreateExodusFromFile,PetscError, DIRECT
DMPlexCreateExodusFromFile,PetscCheckPointer, DIRECT
DMPlexCreateExodusFromFile,PetscError, DIRECT
DMPlexCreateExodusFromFile,MPI_Comm_rank, DIRECT
DMPlexCreateExodusFromFile,MPI_Error_string, DIRECT
DMPlexCreateExodusFromFile,PetscError, DIRECT
DMPlexCreateExodusFromFile,PetscError, DIRECT
DMPlexCreateExodus,PetscError, DIRECT
