CALLER, CALLEE, CALLTYPE
DMPlexReconstructGradients_Internal,DMGetDimension, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMGetDS, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,PetscDSGetNumFields, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,PetscDSGetFieldIndex, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,PetscDSGetFieldSize, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMGetLabel, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,PetscFVGetLimiter, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetDM, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetArrayRead, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetDM, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetArrayRead, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetArrayRead, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetDM, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecZeroEntries, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,VecGetArray, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMLabelGetValue, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMIsBoundaryPoint, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMPlexGetTreeChildren, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMPlexGetSupportSize, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
DMPlexReconstructGradients_Internal,DMPlexGetSupport, DIRECT
DMPlexReconstructGradients_Internal,PetscError, DIRECT
