CALLER, CALLEE, CALLTYPE
DMPlexInvertCell,printf, DIRECT
DMPlexInvertCell,printf, DIRECT
DMPlexReorderCell,DMPlexGetCellType, DIRECT
DMPlexReorderCell,PetscError, DIRECT
DMPlexReorderCell,DMPlexInvertCell, DIRECT
DMPlexReorderCell,printf, DIRECT
DMPlexReorderCell,printf, DIRECT
DMPlexTriangleSetOptions,PetscCheckPointer, DIRECT
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,PetscCheckPointer, DIRECT
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,PetscStrallocpy, DIRECT
DMPlexTriangleSetOptions,PetscError, DIRECT
DMPlexTriangleSetOptions,printf, DIRECT
DMPlexTriangleSetOptions,printf, DIRECT
DMPlexTetgenSetOptions,PetscCheckPointer, DIRECT
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,PetscCheckPointer, DIRECT
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,PetscStrallocpy, DIRECT
DMPlexTetgenSetOptions,PetscError, DIRECT
DMPlexTetgenSetOptions,printf, DIRECT
DMPlexTetgenSetOptions,printf, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscCheckPointer, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscObjectComm, DIRECT
DMPlexGenerate,MPI_Comm_size, DIRECT
DMPlexGenerate,PetscObjectComm, DIRECT
DMPlexGenerate,MPI_Allreduce, DIRECT
DMPlexGenerate,MPI_Error_string, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscObjectComm, DIRECT
DMPlexGenerate,MPI_Comm_size, DIRECT
DMPlexGenerate,PetscObjectComm, DIRECT
DMPlexGenerate,MPI_Allreduce, DIRECT
DMPlexGenerate,MPI_Error_string, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscObjectComm, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,DMGetDimension, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscOptionsGetString, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscOptionsGetString, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,PetscStrcmp, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,EMPTYNAME = (_n_PlexGeneratorFunctionList->any pointer@i64 0) :: i32 (%struct._p_DM*, i32, %struct._p_DM**)*, INDIRECT 
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,printf, DIRECT
DMPlexGenerate,printf, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,EMPTYNAME = (_n_PlexGeneratorFunctionList->any pointer@i64 0) :: i32 (%struct._p_DM*, i32, %struct._p_DM**)*, INDIRECT 
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerate,printf, DIRECT
DMPlexGenerate,printf, DIRECT
DMPlexGenerate,PetscError, DIRECT
DMPlexGenerateRegister,PetscMallocA, DIRECT
DMPlexGenerateRegister,PetscError, DIRECT
DMPlexGenerateRegister,PetscStrallocpy, DIRECT
DMPlexGenerateRegister,PetscError, DIRECT
DMPlexGenerateRegister,printf, DIRECT
DMPlexGenerateRegister,printf, DIRECT
DMPlexGenerateRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexGenerateRegisterDestroy,PetscError, DIRECT
DMPlexGenerateRegisterDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexGenerateRegisterDestroy,PetscError, DIRECT
DMPlexGenerateRegisterDestroy,printf, DIRECT
DMPlexGenerateRegisterDestroy,printf, DIRECT
