CALLER, CALLEE, CALLTYPE
DMPlexSetMigrationSF,PetscObjectReference, DIRECT
DMPlexSetMigrationSF,PetscError, DIRECT
DMPlexSetMigrationSF,printf, DIRECT
DMPlexSetMigrationSF,printf, DIRECT
DMPlexGetMigrationSF,printf, DIRECT
DMPlexGetMigrationSF,printf, DIRECT
DMPlexSetGlobalToNaturalSF,PetscObjectReference, DIRECT
DMPlexSetGlobalToNaturalSF,PetscError, DIRECT
DMPlexSetGlobalToNaturalSF,printf, DIRECT
DMPlexSetGlobalToNaturalSF,printf, DIRECT
DMPlexGetGlobalToNaturalSF,printf, DIRECT
DMPlexGetGlobalToNaturalSF,printf, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscObjectGetComm, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,printf, DIRECT
DMPlexCreateGlobalToNaturalSF,printf, DIRECT
DMPlexCreateGlobalToNaturalSF,DMGetLocalSection, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFCreateInverseSF, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscObjectComm, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionCreate, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDistributeSection, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionCreate, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDistributeSection, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMSetLocalSection, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMCreateGlobalVector, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,VecGetSize, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMRestoreGlobalVector, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMGetGlobalSection, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionGetChart, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionGetDof, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionGetOffset, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscMallocA, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionGetDof, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionGetOffset, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFCreateEmbeddedLeafSF, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMGetGlobalVector, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,VecGetLayout, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFCreate, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFSetGraphWithPattern, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMRestoreGlobalVector, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,DMGetPointSF, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionCreateGlobalSection, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFCreateSectionSF, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFCreateInverseSF, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFComposeInverse, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscObjectViewFromOptions, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSFDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscSectionDestroy, DIRECT
DMPlexCreateGlobalToNaturalSF,PetscError, DIRECT
DMPlexCreateGlobalToNaturalSF,printf, DIRECT
DMPlexCreateGlobalToNaturalSF,printf, DIRECT
DMPlexGlobalToNaturalBegin,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,PetscObjectComm, DIRECT
DMPlexGlobalToNaturalBegin,MPI_Comm_size, DIRECT
DMPlexGlobalToNaturalBegin,MPI_Error_string, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,VecGetArray, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,VecGetArrayRead, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,PetscSFBcastBegin, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,VecRestoreArrayRead, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,VecRestoreArray, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,VecCopy, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,PetscObjectComm, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
DMPlexGlobalToNaturalBegin,PetscError, DIRECT
DMPlexGlobalToNaturalBegin,printf, DIRECT
DMPlexGlobalToNaturalBegin,printf, DIRECT
DMPlexGlobalToNaturalEnd,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
DMPlexGlobalToNaturalEnd,PetscError, DIRECT
DMPlexGlobalToNaturalEnd,PetscObjectComm, DIRECT
