CALLER, CALLEE, CALLTYPE
DMPlexCreatePartitionerGraph,PetscOptionsGetBool, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscObjectComm, DIRECT
DMPlexCreatePartitionerGraph,MPI_Comm_rank, DIRECT
DMPlexCreatePartitionerGraph,MPI_Error_string, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMGetDimension, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexGetDepth, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexCreateNeighborCSR, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexCreateCellNumbering_Internal, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscMallocA, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,printf, DIRECT
DMPlexCreatePartitionerGraph,printf, DIRECT
DMPlexCreatePartitionerGraph,DMGetPointSF, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexGetHeightStratum, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexGetHeightStratum, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexCreateNumbering_Plex, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexCreateNumbering_Plex, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISDuplicate, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISGetLocalSize, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISGetIndices, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscMallocA, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISRestoreIndices, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISDestroy, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISCreateGeneral, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISGetLocalSize, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISGetIndices, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscMallocA, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscMallocA, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISRestoreIndices, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,ISDestroy, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscObjectComm, DIRECT
DMPlexCreatePartitionerGraph,ISCreateGeneral, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscObjectComm, DIRECT
DMPlexCreatePartitionerGraph,ISCreateGeneral, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,PetscObjectComm, DIRECT
DMPlexCreatePartitionerGraph,MatCreate, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,MatSetSizes, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,MatSetType, DIRECT
DMPlexCreatePartitionerGraph,PetscError, DIRECT
DMPlexCreatePartitionerGraph,DMPlexGetMaxSizes, DIRECT
