CALLER, CALLEE, CALLTYPE
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,PetscCheckPointer, DIRECT
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,PetscCheckPointer, DIRECT
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,PetscCheckPointer, DIRECT
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,DMGetLocalOffset_Private, DIRECT
DMPlexGetPointLocal,PetscError, DIRECT
DMPlexGetPointLocal,printf, DIRECT
DMPlexGetPointLocal,printf, DIRECT
DMGetLocalOffset_Private,PetscObjectComm, DIRECT
DMGetLocalOffset_Private,PetscError, DIRECT
DMGetLocalOffset_Private,PetscSectionGetOffset, DIRECT
DMGetLocalOffset_Private,PetscError, DIRECT
DMGetLocalOffset_Private,PetscSectionGetDof, DIRECT
DMGetLocalOffset_Private,PetscError, DIRECT
DMGetLocalOffset_Private,printf, DIRECT
DMGetLocalOffset_Private,printf, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscCheckPointer, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscCheckPointer, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,PetscCheckPointer, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,DMGetLocalOffset_Private, DIRECT
DMPlexPointLocalRead,PetscError, DIRECT
DMPlexPointLocalRead,printf, DIRECT
DMPlexPointLocalRead,printf, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscCheckPointer, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscCheckPointer, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,PetscCheckPointer, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,DMGetLocalOffset_Private, DIRECT
DMPlexPointLocalRef,PetscError, DIRECT
DMPlexPointLocalRef,printf, DIRECT
DMPlexPointLocalRef,printf, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,PetscCheckPointer, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,PetscCheckPointer, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,PetscCheckPointer, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,DMGetLocalFieldOffset_Private, DIRECT
DMPlexGetPointLocalField,PetscError, DIRECT
DMPlexGetPointLocalField,printf, DIRECT
DMPlexGetPointLocalField,printf, DIRECT
DMGetLocalFieldOffset_Private,PetscObjectComm, DIRECT
DMGetLocalFieldOffset_Private,PetscError, DIRECT
DMGetLocalFieldOffset_Private,PetscSectionGetFieldOffset, DIRECT
DMGetLocalFieldOffset_Private,PetscError, DIRECT
DMGetLocalFieldOffset_Private,PetscSectionGetFieldDof, DIRECT
DMGetLocalFieldOffset_Private,PetscError, DIRECT
DMGetLocalFieldOffset_Private,printf, DIRECT
DMGetLocalFieldOffset_Private,printf, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscCheckPointer, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscCheckPointer, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,PetscCheckPointer, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,DMGetLocalFieldOffset_Private, DIRECT
DMPlexPointLocalFieldRead,PetscError, DIRECT
DMPlexPointLocalFieldRead,printf, DIRECT
DMPlexPointLocalFieldRead,printf, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscCheckPointer, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscCheckPointer, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,PetscCheckPointer, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,DMGetLocalFieldOffset_Private, DIRECT
DMPlexPointLocalFieldRef,PetscError, DIRECT
DMPlexPointLocalFieldRef,printf, DIRECT
DMPlexPointLocalFieldRef,printf, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,PetscCheckPointer, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,PetscCheckPointer, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,PetscCheckPointer, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,DMGetGlobalOffset_Private, DIRECT
DMPlexGetPointGlobal,PetscError, DIRECT
DMPlexGetPointGlobal,printf, DIRECT
DMPlexGetPointGlobal,printf, DIRECT
DMGetGlobalOffset_Private,PetscObjectComm, DIRECT
DMGetGlobalOffset_Private,PetscError, DIRECT
DMGetGlobalOffset_Private,PetscObjectComm, DIRECT
DMGetGlobalOffset_Private,PetscError, DIRECT
DMGetGlobalOffset_Private,PetscSectionGetOffset, DIRECT
DMGetGlobalOffset_Private,PetscError, DIRECT
DMGetGlobalOffset_Private,PetscSectionGetDof, DIRECT
DMGetGlobalOffset_Private,PetscError, DIRECT
DMGetGlobalOffset_Private,PetscSectionGetConstraintDof, DIRECT
DMGetGlobalOffset_Private,PetscError, DIRECT
DMGetGlobalOffset_Private,printf, DIRECT
DMGetGlobalOffset_Private,printf, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscCheckPointer, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscCheckPointer, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,PetscCheckPointer, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,DMGetGlobalOffset_Private, DIRECT
DMPlexPointGlobalRead,PetscError, DIRECT
DMPlexPointGlobalRead,printf, DIRECT
DMPlexPointGlobalRead,printf, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscCheckPointer, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscCheckPointer, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,PetscCheckPointer, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,DMGetGlobalOffset_Private, DIRECT
DMPlexPointGlobalRef,PetscError, DIRECT
DMPlexPointGlobalRef,printf, DIRECT
DMPlexPointGlobalRef,printf, DIRECT
DMPlexGetPointGlobalField,PetscError, DIRECT
DMPlexGetPointGlobalField,PetscCheckPointer, DIRECT
DMPlexGetPointGlobalField,PetscError, DIRECT
DMPlexGetPointGlobalField,PetscError, DIRECT
DMPlexGetPointGlobalField,PetscError, DIRECT
DMPlexGetPointGlobalField,PetscCheckPointer, DIRECT
DMPlexGetPointGlobalField,PetscError, DIRECT
