CALLER, CALLEE, CALLTYPE
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscCheckPointer, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscCheckPointer, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,DMPlexCreateNeighborCSR, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscMallocA, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,SPARSEPACKgenrcm, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,DMLabelGetValueIS, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,ISSort, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,ISGetLocalSize, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,ISGetIndices, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscMallocA, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,DMLabelGetStratumSize, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,DMLabelGetValue, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscFindInt, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,ISRestoreIndices, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,ISDestroy, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscMemcpy, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscFreeA, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,DMPlexCreateOrderingClosure_Static, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscFreeA, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,DMPlexGetChart, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,PetscObjectComm, DIRECT
DMPlexGetOrdering,ISCreateGeneral, DIRECT
DMPlexGetOrdering,PetscError, DIRECT
DMPlexGetOrdering,printf, DIRECT
DMPlexGetOrdering,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
