CALLER, CALLEE, CALLTYPE
DMCreateMatrix_Sliced,PetscObjectComm, DIRECT
DMCreateMatrix_Sliced,MatCreate, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSetSizes, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSetBlockSize, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSetType, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSeqBAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatMPIBAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,PetscObjectQueryFunction_Private, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,PetscObjectQueryFunction_Private, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSeqAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatMPIAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSeqAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatMPIAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,PetscMallocA, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSeqAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatMPIAIJSetPreallocation, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,PetscFreeA, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,PetscMallocA, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatGetOwnershipRange, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,ISLocalToGlobalMappingCreate, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSetLocalToGlobalMapping, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,ISLocalToGlobalMappingDestroy, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,MatSetDM, DIRECT
DMCreateMatrix_Sliced,PetscError, DIRECT
DMCreateMatrix_Sliced,printf, DIRECT
DMCreateMatrix_Sliced,printf, DIRECT
DMSlicedSetGhosts,PetscCheckPointer, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscMallocA, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,printf, DIRECT
DMSlicedSetGhosts,printf, DIRECT
DMSlicedSetGhosts,PetscError, DIRECT
DMSlicedSetGhosts,printf, DIRECT
DMSlicedSetGhosts,printf, DIRECT
DMSlicedSetPreallocation,PetscCheckPointer, DIRECT
DMSlicedSetPreallocation,PetscError, DIRECT
DMSlicedSetPreallocation,PetscError, DIRECT
DMSlicedSetPreallocation,PetscError, DIRECT
DMSlicedSetPreallocation,printf, DIRECT
DMSlicedSetPreallocation,printf, DIRECT
DMSlicedSetBlockFills,PetscCheckPointer, DIRECT
DMSlicedSetBlockFills,PetscError, DIRECT
DMSlicedSetBlockFills,PetscError, DIRECT
DMSlicedSetBlockFills,PetscError, DIRECT
DMSlicedSetBlockFills,DMSlicedSetBlockFills_Private, DIRECT
DMSlicedSetBlockFills,PetscError, DIRECT
DMSlicedSetBlockFills,DMSlicedSetBlockFills_Private, DIRECT
DMSlicedSetBlockFills,PetscError, DIRECT
DMSlicedSetBlockFills,printf, DIRECT
DMSlicedSetBlockFills,printf, DIRECT
DMSlicedSetBlockFills_Private,PetscError, DIRECT
DMSlicedSetBlockFills_Private,PetscCheckPointer, DIRECT
DMSlicedSetBlockFills_Private,PetscError, DIRECT
DMSlicedSetBlockFills_Private,PetscFreeA, DIRECT
DMSlicedSetBlockFills_Private,PetscError, DIRECT
DMSlicedSetBlockFills_Private,printf, DIRECT
DMSlicedSetBlockFills_Private,printf, DIRECT
DMSlicedSetBlockFills_Private,PetscMallocA, DIRECT
DMSlicedSetBlockFills_Private,PetscError, DIRECT
DMSlicedSetBlockFills_Private,printf, DIRECT
DMSlicedSetBlockFills_Private,printf, DIRECT
DMCreate_Sliced,PetscMallocA, DIRECT
DMCreate_Sliced,PetscLogObjectMemory, DIRECT
DMCreate_Sliced,PetscError, DIRECT
DMCreate_Sliced,printf, DIRECT
DMCreate_Sliced,printf, DIRECT
DMCreateGlobalVector_Sliced,PetscCheckPointer, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,PetscCheckPointer, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,PetscObjectComm, DIRECT
DMCreateGlobalVector_Sliced,VecCreateGhostBlock, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,VecSetDM, DIRECT
DMCreateGlobalVector_Sliced,PetscError, DIRECT
DMCreateGlobalVector_Sliced,printf, DIRECT
DMCreateGlobalVector_Sliced,printf, DIRECT
DMGlobalToLocalBegin_Sliced,VecGhostIsLocalForm, DIRECT
DMGlobalToLocalBegin_Sliced,PetscError, DIRECT
DMGlobalToLocalBegin_Sliced,PetscObjectComm, DIRECT
DMGlobalToLocalBegin_Sliced,PetscError, DIRECT
DMGlobalToLocalBegin_Sliced,VecGhostUpdateEnd, DIRECT
DMGlobalToLocalBegin_Sliced,PetscError, DIRECT
DMGlobalToLocalBegin_Sliced,VecGhostUpdateBegin, DIRECT
DMGlobalToLocalBegin_Sliced,PetscError, DIRECT
DMGlobalToLocalBegin_Sliced,printf, DIRECT
DMGlobalToLocalBegin_Sliced,printf, DIRECT
DMGlobalToLocalEnd_Sliced,VecGhostIsLocalForm, DIRECT
DMGlobalToLocalEnd_Sliced,PetscError, DIRECT
DMGlobalToLocalEnd_Sliced,PetscObjectComm, DIRECT
DMGlobalToLocalEnd_Sliced,PetscError, DIRECT
DMGlobalToLocalEnd_Sliced,VecGhostUpdateEnd, DIRECT
DMGlobalToLocalEnd_Sliced,PetscError, DIRECT
DMGlobalToLocalEnd_Sliced,printf, DIRECT
DMGlobalToLocalEnd_Sliced,printf, DIRECT
DMDestroy_Sliced,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMDestroy_Sliced,PetscError, DIRECT
DMDestroy_Sliced,PetscFreeA, DIRECT
DMDestroy_Sliced,PetscError, DIRECT
DMDestroy_Sliced,PetscFreeA, DIRECT
DMDestroy_Sliced,PetscError, DIRECT
DMDestroy_Sliced,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMDestroy_Sliced,PetscError, DIRECT
DMDestroy_Sliced,printf, DIRECT
DMDestroy_Sliced,printf, DIRECT
DMSlicedCreate,PetscError, DIRECT
DMSlicedCreate,PetscCheckPointer, DIRECT
DMSlicedCreate,PetscError, DIRECT
DMSlicedCreate,DMCreate, DIRECT
DMSlicedCreate,PetscError, DIRECT
DMSlicedCreate,DMSetType, DIRECT
DMSlicedCreate,PetscError, DIRECT
DMSlicedCreate,DMSlicedSetGhosts, DIRECT
DMSlicedCreate,PetscError, DIRECT
DMSlicedCreate,DMSlicedSetPreallocation, DIRECT
DMSlicedCreate,PetscError, DIRECT
DMSlicedCreate,printf, DIRECT
DMSlicedCreate,printf, DIRECT
