CALLER, CALLEE, CALLTYPE
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscCheckPointer, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscObjectTypeCompare, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscCheckPointer, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMGetDimension, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMStagGetLocationDOF, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,PetscObjectComm, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMStagStencilLocationCanonicalize, DIRECT
DMStagVecSplitToDMDA,DMStagCreateCompatibleDMDA, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMSetUp, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMGetCoordinateDM, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMStagTransferCoordinatesToDMDA, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMCreateGlobalVector, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,DMStagMigrateVecDMDA, DIRECT
DMStagVecSplitToDMDA,PetscError, DIRECT
DMStagVecSplitToDMDA,printf, DIRECT
DMStagVecSplitToDMDA,printf, DIRECT
DMStagStencilLocationCanonicalize,printf, DIRECT
DMStagStencilLocationCanonicalize,printf, DIRECT
DMStagCreateCompatibleDMDA,PetscCheckPointer, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectTypeCompare, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,DMGetDimension, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscMallocA, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,DMDACreate1d, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,DMDACreate2d, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,DMDACreate3d, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscObjectComm, DIRECT
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMStagCreateCompatibleDMDA,PetscError, DIRECT
DMStagCreateCompatibleDMDA,printf, DIRECT
DMStagCreateCompatibleDMDA,printf, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscCheckPointer, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscObjectTypeCompare, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscCheckPointer, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscObjectTypeCompare, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetDimension, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetCoordinateDM, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetCoordinatesLocal, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetCoordinateDM, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetCoordinates, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMCreateGlobalVector, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMSetCoordinates, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,VecDestroy, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetCoordinates, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMGetType, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscStrcmp, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscStrcmp, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetCorners, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagDMDAGetExtraPoints, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMDAVecGetArrayDOF, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetLocationSlot, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagVecGetArrayRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagVecRestoreArrayRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetProductCoordinateArraysRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagRestoreProductCoordinateArraysRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscObjectComm, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMDAVecRestoreArrayDOF, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMDAVecGetArrayDOF, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetLocationSlot, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagVecGetArrayRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagVecRestoreArrayRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetProductCoordinateArraysRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagRestoreProductCoordinateArraysRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,PetscObjectComm, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMDAVecRestoreArrayDOF, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMDAVecGetArrayDOF, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetLocationSlot, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagVecGetArrayRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagVecRestoreArrayRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
DMStagTransferCoordinatesToDMDA,DMStagGetProductCoordinateArraysRead, DIRECT
DMStagTransferCoordinatesToDMDA,PetscError, DIRECT
