CALLER, CALLEE, CALLTYPE
DMStagGetLocationDOF,PetscCheckPointer, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscObjectTypeCompare, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,DMGetDimension, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscObjectComm, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscObjectComm, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscObjectComm, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,PetscObjectComm, DIRECT
DMStagGetLocationDOF,PetscError, DIRECT
DMStagGetLocationDOF,printf, DIRECT
DMStagGetLocationDOF,printf, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscCheckPointer, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscCheckPointer, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,DMGetDimension, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscMallocA, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,DMStagStencilToIndexLocal, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,DMStagStencilToIndexLocal, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,MatGetValuesLocal, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,PetscFreeA, DIRECT
DMStagMatGetValuesStencil,PetscError, DIRECT
DMStagMatGetValuesStencil,printf, DIRECT
DMStagMatGetValuesStencil,printf, DIRECT
DMStagStencilToIndexLocal,PetscCheckPointer, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectTypeCompare, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,DMGetDimension, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,DMStagGetGhostCorners, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,DMStagGetLocationDOF, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,DMStagGetGhostCorners, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,DMStagGetGhostCorners, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,PetscObjectComm, DIRECT
DMStagStencilToIndexLocal,PetscError, DIRECT
DMStagStencilToIndexLocal,printf, DIRECT
DMStagStencilToIndexLocal,printf, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscCheckPointer, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscCheckPointer, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,DMGetDimension, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscMallocA, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,DMStagStencilToIndexLocal, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,DMStagStencilToIndexLocal, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,MatSetValuesLocal, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,PetscFreeA, DIRECT
DMStagMatSetValuesStencil,PetscError, DIRECT
DMStagMatSetValuesStencil,printf, DIRECT
DMStagMatSetValuesStencil,printf, DIRECT
DMStagVecGetValuesStencil,PetscCheckPointer, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscObjectTypeCompare, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscCheckPointer, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,DMGetDimension, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,VecGetLocalSize, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscMallocA, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,DMStagStencilToIndexLocal, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,VecGetArrayRead, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,VecRestoreArrayRead, DIRECT
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMStagVecGetValuesStencil,PetscError, DIRECT
DMStagVecGetValuesStencil,printf, DIRECT
DMStagVecGetValuesStencil,printf, DIRECT
DMStagVecSetValuesStencil,PetscCheckPointer, DIRECT
