CALLER, CALLEE, CALLTYPE
dmlabeladdstratum_,DMLabelAddStratum, DIRECT
dmlabeladdstrata_,DMLabelAddStrata, DIRECT
dmlabeladdstratais_,DMLabelAddStrataIS, DIRECT
dmlabelreset_,DMLabelReset, DIRECT
dmlabeldestroy_,DMLabelDestroy, DIRECT
dmlabelduplicate_,DMLabelDuplicate, DIRECT
dmlabelcomputeindex_,DMLabelComputeIndex, DIRECT
dmlabelcreateindex_,DMLabelCreateIndex, DIRECT
dmlabeldestroyindex_,DMLabelDestroyIndex, DIRECT
dmlabelgetbounds_,DMLabelGetBounds, DIRECT
dmlabelhasvalue_,DMLabelHasValue, DIRECT
dmlabelhaspoint_,DMLabelHasPoint, DIRECT
dmlabelstratumhaspoint_,DMLabelStratumHasPoint, DIRECT
dmlabelgetdefaultvalue_,DMLabelGetDefaultValue, DIRECT
dmlabelsetdefaultvalue_,DMLabelSetDefaultValue, DIRECT
dmlabelgetvalue_,DMLabelGetValue, DIRECT
dmlabelsetvalue_,DMLabelSetValue, DIRECT
dmlabelclearvalue_,DMLabelClearValue, DIRECT
dmlabelinsertis_,DMLabelInsertIS, DIRECT
dmlabelgetnumvalues_,DMLabelGetNumValues, DIRECT
dmlabelgetvalueis_,DMLabelGetValueIS, DIRECT
dmlabelhasstratum_,DMLabelHasStratum, DIRECT
dmlabelgetstratumsize_,DMLabelGetStratumSize, DIRECT
dmlabelgetstratumbounds_,DMLabelGetStratumBounds, DIRECT
dmlabelgetstratumis_,DMLabelGetStratumIS, DIRECT
dmlabelsetstratumis_,DMLabelSetStratumIS, DIRECT
dmlabelclearstratum_,DMLabelClearStratum, DIRECT
dmlabelsetstratumbounds_,DMLabelSetStratumBounds, DIRECT
dmlabelfilter_,DMLabelFilter, DIRECT
dmlabelpermute_,DMLabelPermute, DIRECT
dmlabeldistribute_,DMLabelDistribute, DIRECT
dmlabelgather_,DMLabelGather, DIRECT
dmlabelconverttosection_,DMLabelConvertToSection, DIRECT
petscsectioncreateglobalsectionlabel_,PetscSectionCreateGlobalSectionLabel, DIRECT
petscsectionsymlabelsetlabel_,PetscSectionSymLabelSetLabel, DIRECT
petscsectionsymcreatelabel_,MPI_Comm_f2c, DIRECT
petscsectionsymcreatelabel_,PetscSectionSymCreateLabel, DIRECT
