CALLER, CALLEE, CALLTYPE
KSPGuessCreate_POD,PetscMallocA, DIRECT
KSPGuessCreate_POD,PetscLogObjectMemory, DIRECT
KSPGuessCreate_POD,PetscError, DIRECT
KSPGuessCreate_POD,printf, DIRECT
KSPGuessCreate_POD,printf, DIRECT
KSPGuessSetFromOptions_POD,PetscObjectComm, DIRECT
KSPGuessSetFromOptions_POD,PetscOptionsBegin_Private, DIRECT
KSPGuessSetFromOptions_POD,PetscError, DIRECT
KSPGuessSetFromOptions_POD,PetscOptionsInt_Private, DIRECT
KSPGuessSetFromOptions_POD,PetscError, DIRECT
KSPGuessSetFromOptions_POD,PetscOptionsBool_Private, DIRECT
KSPGuessSetFromOptions_POD,PetscError, DIRECT
KSPGuessSetFromOptions_POD,PetscOptionsReal_Private, DIRECT
KSPGuessSetFromOptions_POD,PetscError, DIRECT
KSPGuessSetFromOptions_POD,PetscOptionsBool_Private, DIRECT
KSPGuessSetFromOptions_POD,PetscError, DIRECT
KSPGuessSetFromOptions_POD,PetscOptionsEnd_Private, DIRECT
KSPGuessSetFromOptions_POD,PetscError, DIRECT
KSPGuessSetFromOptions_POD,printf, DIRECT
KSPGuessSetFromOptions_POD,printf, DIRECT
KSPGuessDestroy_POD,PetscFreeA, DIRECT
KSPGuessDestroy_POD,PetscError, DIRECT
KSPGuessDestroy_POD,MPI_Wait, DIRECT
KSPGuessDestroy_POD,MPI_Error_string, DIRECT
KSPGuessDestroy_POD,PetscError, DIRECT
KSPGuessDestroy_POD,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPGuessDestroy_POD,PetscError, DIRECT
KSPGuessDestroy_POD,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPGuessDestroy_POD,PetscError, DIRECT
KSPGuessDestroy_POD,VecDestroyVecs, DIRECT
KSPGuessDestroy_POD,PetscError, DIRECT
KSPGuessDestroy_POD,VecDestroyVecs, DIRECT
KSPGuessDestroy_POD,PetscError, DIRECT
KSPGuessDestroy_POD,VecDestroyVecs, DIRECT
KSPGuessDestroy_POD,PetscError, DIRECT
