CALLER, CALLEE, CALLTYPE
KSPCreate_FBCGSR,PetscMallocA, DIRECT
KSPCreate_FBCGSR,PetscLogObjectMemory, DIRECT
KSPCreate_FBCGSR,PetscError, DIRECT
KSPCreate_FBCGSR,KSPSetSupportedNorm, DIRECT
KSPCreate_FBCGSR,PetscError, DIRECT
KSPCreate_FBCGSR,KSPSetSupportedNorm, DIRECT
KSPCreate_FBCGSR,PetscError, DIRECT
KSPCreate_FBCGSR,KSPSetSupportedNorm, DIRECT
KSPCreate_FBCGSR,PetscError, DIRECT
KSPCreate_FBCGSR,printf, DIRECT
KSPCreate_FBCGSR,printf, DIRECT
KSPSetUp_FBCGSR,KSPSetWorkVecs, DIRECT
KSPSetUp_FBCGSR,PetscError, DIRECT
KSPSetUp_FBCGSR,printf, DIRECT
KSPSetUp_FBCGSR,printf, DIRECT
KSPSolve_FBCGSR,PetscObjectComm, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetLocalSize, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecGetArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecRestoreArray, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscObjectComm, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecDuplicate, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecCopy, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecSet, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSPGetPC, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PCSetUp, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PCGetOperators, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSP_MatMult, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecCopy, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecAXPY, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecCopy, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecNorm, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSPLogResidualHistory, DIRECT
KSPSolve_FBCGSR,KSPMonitor, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,EMPTYNAME = (_p_KSP->any pointer@i64 1176) :: i32 (%struct._p_KSP*, i32, double, i32*, i8*)*, INDIRECT 
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,printf, DIRECT
KSPSolve_FBCGSR,printf, DIRECT
KSPSolve_FBCGSR,VecCopy, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecCopy, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSP_PCApply, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSP_MatMult, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecDot, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscLogFlops, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscObjectComm, DIRECT
KSPSolve_FBCGSR,MPI_Comm_size, DIRECT
KSPSolve_FBCGSR,PetscObjectComm, DIRECT
KSPSolve_FBCGSR,MPI_Allreduce, DIRECT
KSPSolve_FBCGSR,MPI_Error_string, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscObjectComm, DIRECT
KSPSolve_FBCGSR,MPI_Comm_size, DIRECT
KSPSolve_FBCGSR,PetscObjectComm, DIRECT
KSPSolve_FBCGSR,MPI_Allreduce, DIRECT
KSPSolve_FBCGSR,MPI_Error_string, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,VecWAXPY, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSP_PCApply, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
KSPSolve_FBCGSR,KSP_MatMult, DIRECT
KSPSolve_FBCGSR,PetscError, DIRECT
