CALLER, CALLEE, CALLTYPE
KSPDestroy_CG,PetscFreeA, DIRECT
KSPDestroy_CG,PetscError, DIRECT
KSPDestroy_CG,KSPDestroyDefault, DIRECT
KSPDestroy_CG,PetscError, DIRECT
KSPDestroy_CG,PetscObjectComposeFunction_Private, DIRECT
KSPDestroy_CG,PetscError, DIRECT
KSPDestroy_CG,PetscObjectComposeFunction_Private, DIRECT
KSPDestroy_CG,PetscError, DIRECT
KSPDestroy_CG,printf, DIRECT
KSPDestroy_CG,printf, DIRECT
KSPView_CG,PetscObjectTypeCompare, DIRECT
KSPView_CG,PetscError, DIRECT
KSPView_CG,PetscViewerASCIIPrintf, DIRECT
KSPView_CG,PetscError, DIRECT
KSPView_CG,printf, DIRECT
KSPView_CG,printf, DIRECT
KSPSetFromOptions_CG,PetscOptionsHead, DIRECT
KSPSetFromOptions_CG,PetscError, DIRECT
KSPSetFromOptions_CG,PetscOptionsBool_Private, DIRECT
KSPSetFromOptions_CG,PetscError, DIRECT
KSPSetFromOptions_CG,KSPCGUseSingleReduction, DIRECT
KSPSetFromOptions_CG,PetscError, DIRECT
KSPSetFromOptions_CG,printf, DIRECT
KSPSetFromOptions_CG,printf, DIRECT
KSPSetFromOptions_CG,printf, DIRECT
KSPSetFromOptions_CG,printf, DIRECT
KSPCGSetType_CG,printf, DIRECT
KSPCGSetType_CG,printf, DIRECT
KSPBuildResidual_CG,VecCopy, DIRECT
KSPBuildResidual_CG,PetscError, DIRECT
KSPBuildResidual_CG,printf, DIRECT
KSPBuildResidual_CG,printf, DIRECT
KSPCreate_CG,PetscMallocA, DIRECT
KSPCreate_CG,PetscLogObjectMemory, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,KSPSetSupportedNorm, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,KSPSetSupportedNorm, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,KSPSetSupportedNorm, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,KSPSetSupportedNorm, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_CG,PetscError, DIRECT
KSPCreate_CG,printf, DIRECT
KSPCreate_CG,printf, DIRECT
KSPSetUp_CG,KSPSetWorkVecs, DIRECT
KSPSetUp_CG,PetscError, DIRECT
KSPSetUp_CG,PetscFreeA, DIRECT
KSPSetUp_CG,PetscError, DIRECT
KSPSetUp_CG,PetscMallocA, DIRECT
KSPSetUp_CG,PetscError, DIRECT
KSPSetUp_CG,PetscLogObjectMemory, DIRECT
KSPSetUp_CG,PetscError, DIRECT
KSPSetUp_CG,printf, DIRECT
KSPSetUp_CG,printf, DIRECT
KSPSolve_CG,PCGetDiagonalScale, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCGetOperators, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,KSP_MatMult, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecAYPX, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecCopy, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,KSP_PCApply, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecNorm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscIsInfOrNanReal, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCGetFailedReasonRank, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Comm_size, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Allreduce, DIRECT
KSPSolve_CG,MPI_Error_string, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecSetInf, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,VecNorm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscIsInfOrNanReal, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCGetFailedReasonRank, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Comm_size, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Allreduce, DIRECT
KSPSolve_CG,MPI_Error_string, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecSetInf, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,KSP_PCApply, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecDot, DIRECT
KSPSolve_CG,VecTDot, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscIsInfOrNanReal, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCGetFailedReasonRank, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Comm_size, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Allreduce, DIRECT
KSPSolve_CG,MPI_Error_string, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecSetInf, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,sqrt, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,KSPLogResidualHistory, DIRECT
KSPSolve_CG,KSPMonitor, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,EMPTYNAME = (_p_KSP->any pointer@i64 1176) :: i32 (%struct._p_KSP*, i32, double, i32*, i8*)*, INDIRECT 
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,KSP_PCApply, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecDot, DIRECT
KSPSolve_CG,VecTDot, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscIsInfOrNanReal, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCGetFailedReasonRank, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Comm_size, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Allreduce, DIRECT
KSPSolve_CG,MPI_Error_string, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecSetInf, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,PetscInfo_Private, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscInfo_Private, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecCopy, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,sqrt, DIRECT
KSPSolve_CG,VecAYPX, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,KSP_MatMult, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecDot, DIRECT
KSPSolve_CG,VecTDot, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscIsInfOrNanReal, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCGetFailedReasonRank, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Comm_size, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,MPI_Allreduce, DIRECT
KSPSolve_CG,MPI_Error_string, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,PCSetFailedReason, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,VecSetInf, DIRECT
KSPSolve_CG,PetscError, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,printf, DIRECT
KSPSolve_CG,PetscObjectComm, DIRECT
KSPSolve_CG,PetscError, DIRECT
