CALLER, CALLEE, CALLTYPE
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,PetscCheckPointer, DIRECT
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,PetscObjectQueryFunction_Private, DIRECT
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, double*)*, INDIRECT 
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,PetscObjectComm, DIRECT
KSPGLTRGetMinEig,PetscError, DIRECT
KSPGLTRGetMinEig,printf, DIRECT
KSPGLTRGetMinEig,printf, DIRECT
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,PetscCheckPointer, DIRECT
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,PetscObjectQueryFunction_Private, DIRECT
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, double*)*, INDIRECT 
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,PetscObjectComm, DIRECT
KSPGLTRGetLambda,PetscError, DIRECT
KSPGLTRGetLambda,printf, DIRECT
KSPGLTRGetLambda,printf, DIRECT
KSPCreate_GLTR,PetscMallocA, DIRECT
KSPCreate_GLTR,PetscLogObjectMemory, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,KSPSetSupportedNorm, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,KSPSetSupportedNorm, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,KSPSetSupportedNorm, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,KSPSetSupportedNorm, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,PetscObjectComposeFunction_Private, DIRECT
KSPCreate_GLTR,PetscError, DIRECT
KSPCreate_GLTR,printf, DIRECT
KSPCreate_GLTR,printf, DIRECT
KSPCGSetUp_GLTR,KSPSetWorkVecs, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscMemzero, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscMemzero, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscMallocA, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,PetscLogObjectMemory, DIRECT
KSPCGSetUp_GLTR,PetscError, DIRECT
KSPCGSetUp_GLTR,printf, DIRECT
KSPCGSetUp_GLTR,printf, DIRECT
KSPCGSolve_GLTR,PCGetDiagonalScale, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PetscObjectComm, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PetscObjectComm, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PCGetOperators, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecGetSize, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecSet, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecCopy, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecDot, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PetscIsInfOrNanScalar, DIRECT
KSPCGSolve_GLTR,PetscObjectComm, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PCGetFailedReasonRank, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PetscObjectComm, DIRECT
KSPCGSolve_GLTR,MPI_Comm_size, DIRECT
KSPCGSolve_GLTR,PetscObjectComm, DIRECT
KSPCGSolve_GLTR,MPI_Allreduce, DIRECT
KSPCGSolve_GLTR,MPI_Error_string, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PCSetFailedReason, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecSetInf, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,printf, DIRECT
KSPCGSolve_GLTR,printf, DIRECT
KSPCGSolve_GLTR,KSP_PCApply, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecDot, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,PetscIsInfOrNanScalar, DIRECT
KSPCGSolve_GLTR,PetscInfo_Private, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,sqrt, DIRECT
KSPCGSolve_GLTR,sqrt, DIRECT
KSPCGSolve_GLTR,VecAXPY, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,KSP_MatMult, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecAYPX, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecDot, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,printf, DIRECT
KSPCGSolve_GLTR,printf, DIRECT
KSPCGSolve_GLTR,PetscInfo_Private, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,sqrt, DIRECT
KSPCGSolve_GLTR,sqrt, DIRECT
KSPCGSolve_GLTR,VecAXPY, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,KSP_MatMult, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecAYPX, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,VecDot, DIRECT
KSPCGSolve_GLTR,PetscError, DIRECT
KSPCGSolve_GLTR,printf, DIRECT
KSPCGSolve_GLTR,printf, DIRECT
KSPCGSolve_GLTR,sqrt, DIRECT
KSPCGSolve_GLTR,VecNorm, DIRECT
