CALLER, CALLEE, CALLTYPE
KSPCreate_GROPPCG,KSPSetSupportedNorm, DIRECT
KSPCreate_GROPPCG,PetscError, DIRECT
KSPCreate_GROPPCG,KSPSetSupportedNorm, DIRECT
KSPCreate_GROPPCG,PetscError, DIRECT
KSPCreate_GROPPCG,KSPSetSupportedNorm, DIRECT
KSPCreate_GROPPCG,PetscError, DIRECT
KSPCreate_GROPPCG,KSPSetSupportedNorm, DIRECT
KSPCreate_GROPPCG,PetscError, DIRECT
KSPCreate_GROPPCG,printf, DIRECT
KSPCreate_GROPPCG,printf, DIRECT
KSPSetUp_GROPPCG,KSPSetWorkVecs, DIRECT
KSPSetUp_GROPPCG,PetscError, DIRECT
KSPSetUp_GROPPCG,printf, DIRECT
KSPSetUp_GROPPCG,printf, DIRECT
KSPSolve_GROPPCG,PCGetDiagonalScale, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,PetscObjectComm, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,PCGetOperators, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,KSP_MatMult, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,VecAYPX, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,VecCopy, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,KSP_PCApply, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,VecCopy, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,VecDotBegin, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,PetscObjectComm, DIRECT
KSPSolve_GROPPCG,PetscCommSplitReductionBegin, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,KSP_MatMult, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,VecDotEnd, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
KSPSolve_GROPPCG,VecNorm, DIRECT
KSPSolve_GROPPCG,PetscError, DIRECT
