CALLER, CALLEE, CALLTYPE
KSPCreate_PIPECG2,KSPSetSupportedNorm, DIRECT
KSPCreate_PIPECG2,PetscError, DIRECT
KSPCreate_PIPECG2,KSPSetSupportedNorm, DIRECT
KSPCreate_PIPECG2,PetscError, DIRECT
KSPCreate_PIPECG2,KSPSetSupportedNorm, DIRECT
KSPCreate_PIPECG2,PetscError, DIRECT
KSPCreate_PIPECG2,KSPSetSupportedNorm, DIRECT
KSPCreate_PIPECG2,PetscError, DIRECT
KSPCreate_PIPECG2,printf, DIRECT
KSPCreate_PIPECG2,printf, DIRECT
KSPSetUp_PIPECG2,KSPSetWorkVecs, DIRECT
KSPSetUp_PIPECG2,PetscError, DIRECT
KSPSetUp_PIPECG2,printf, DIRECT
KSPSetUp_PIPECG2,printf, DIRECT
KSPSolve_PIPECG2,PetscObjectComm, DIRECT
KSPSolve_PIPECG2,PCGetDiagonalScale, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscObjectComm, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,VecGetLocalSize, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PCGetOperators, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,VecAYPX, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,VecCopy, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_PCApply, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,VecMergedDot_Private, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Iallreduce, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_PCApply, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_PCApply, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_PCApply, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Wait, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,sqrt, DIRECT
KSPSolve_PIPECG2,VecMergedDot2_Private, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Comm_size, DIRECT
KSPSolve_PIPECG2,MPI_Allreduce, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Comm_size, DIRECT
KSPSolve_PIPECG2,MPI_Allreduce, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Comm_size, DIRECT
KSPSolve_PIPECG2,MPI_Allreduce, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Comm_size, DIRECT
KSPSolve_PIPECG2,MPI_Allreduce, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSPLogResidualHistory, DIRECT
KSPSolve_PIPECG2,KSPMonitor, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,EMPTYNAME = (_p_KSP->any pointer@i64 1176) :: i32 (%struct._p_KSP*, i32, double, i32*, i8*)*, INDIRECT 
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,printf, DIRECT
KSPSolve_PIPECG2,printf, DIRECT
KSPSolve_PIPECG2,VecMergedOpsShort_Private, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,VecMergedOps_Private, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Iallreduce, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_PCApply, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_PCApply, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,KSP_MatMult, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,MPI_Wait, DIRECT
KSPSolve_PIPECG2,MPI_Error_string, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,sqrt, DIRECT
KSPSolve_PIPECG2,KSPLogResidualHistory, DIRECT
KSPSolve_PIPECG2,KSPMonitor, DIRECT
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,EMPTYNAME = (_p_KSP->any pointer@i64 1176) :: i32 (%struct._p_KSP*, i32, double, i32*, i8*)*, INDIRECT 
KSPSolve_PIPECG2,PetscError, DIRECT
KSPSolve_PIPECG2,printf, DIRECT
KSPSolve_PIPECG2,printf, DIRECT
KSP_MatMult,MatMult, DIRECT
KSP_MatMult,PetscError, DIRECT
KSP_MatMult,MatMultTranspose, DIRECT
KSP_MatMult,PetscError, DIRECT
KSP_MatMult,printf, DIRECT
KSP_MatMult,printf, DIRECT
KSP_PCApply,PCApply, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,PCGetOperators, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,MatGetNullSpace, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,MatNullSpaceRemove, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,printf, DIRECT
KSP_PCApply,printf, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,PCApplyTranspose, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,PCGetOperators, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,MatGetTransposeNullSpace, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,MatNullSpaceRemove, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,printf, DIRECT
KSP_PCApply,printf, DIRECT
KSP_PCApply,PetscError, DIRECT
KSP_PCApply,printf, DIRECT
KSP_PCApply,printf, DIRECT
VecMergedDot_Private,VecGetArrayRead, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,VecGetArrayRead, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,VecGetArrayRead, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,VecGetLocalSize, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,VecRestoreArrayRead, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,VecRestoreArrayRead, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,VecRestoreArrayRead, DIRECT
VecMergedDot_Private,PetscError, DIRECT
VecMergedDot_Private,printf, DIRECT
VecMergedDot_Private,printf, DIRECT
VecMergedDot2_Private,VecGetArrayRead, DIRECT
VecMergedDot2_Private,PetscError, DIRECT
VecMergedDot2_Private,VecGetArrayRead, DIRECT
VecMergedDot2_Private,PetscError, DIRECT
VecMergedDot2_Private,VecGetArrayRead, DIRECT
VecMergedDot2_Private,PetscError, DIRECT
VecMergedDot2_Private,VecGetLocalSize, DIRECT
VecMergedDot2_Private,PetscError, DIRECT
VecMergedDot2_Private,VecRestoreArrayRead, DIRECT
VecMergedDot2_Private,PetscError, DIRECT
