CALLER, CALLEE, CALLTYPE
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscMallocA, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,VecMDot, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscIsInfReal, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscIsNanReal, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscObjectComm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PCGetFailedReasonRank, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscObjectComm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,MPI_Comm_size, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscObjectComm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,MPI_Allreduce, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,MPI_Error_string, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PCSetFailedReason, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,VecSetInf, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,printf, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,printf, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,VecMAXPY, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,sqrt, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,VecNorm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscIsInfOrNanReal, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscObjectComm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PCGetFailedReasonRank, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscError, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscObjectComm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,MPI_Comm_size, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,PetscObjectComm, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,MPI_Allreduce, DIRECT
KSPGMRESClassicalGramSchmidtOrthogonalization,MPI_Error_string, DIRECT
