CALLER, CALLEE, CALLTYPE
KSPDGMRESSetEigen,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESSetEigen,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, i32)*, INDIRECT 
KSPDGMRESSetEigen,PetscError, DIRECT
KSPDGMRESSetEigen,printf, DIRECT
KSPDGMRESSetEigen,printf, DIRECT
KSPDGMRESSetMaxEigen,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESSetMaxEigen,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, i32)*, INDIRECT 
KSPDGMRESSetMaxEigen,PetscError, DIRECT
KSPDGMRESSetMaxEigen,printf, DIRECT
KSPDGMRESSetMaxEigen,printf, DIRECT
KSPDGMRESForce,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESForce,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, i32)*, INDIRECT 
KSPDGMRESForce,PetscError, DIRECT
KSPDGMRESForce,printf, DIRECT
KSPDGMRESForce,printf, DIRECT
KSPDGMRESSetRatio,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESSetRatio,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, double)*, INDIRECT 
KSPDGMRESSetRatio,PetscError, DIRECT
KSPDGMRESSetRatio,printf, DIRECT
KSPDGMRESSetRatio,printf, DIRECT
KSPDGMRESComputeSchurForm,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESComputeSchurForm,PetscError, DIRECT
KSPDGMRESComputeSchurForm,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, i32*)*, INDIRECT 
KSPDGMRESComputeSchurForm,PetscError, DIRECT
KSPDGMRESComputeSchurForm,PetscObjectComm, DIRECT
KSPDGMRESComputeSchurForm,PetscError, DIRECT
KSPDGMRESComputeSchurForm,printf, DIRECT
KSPDGMRESComputeSchurForm,printf, DIRECT
KSPDGMRESComputeDeflationData,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESComputeDeflationData,PetscError, DIRECT
KSPDGMRESComputeDeflationData,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, i32*)*, INDIRECT 
KSPDGMRESComputeDeflationData,PetscError, DIRECT
KSPDGMRESComputeDeflationData,PetscObjectComm, DIRECT
KSPDGMRESComputeDeflationData,PetscError, DIRECT
KSPDGMRESComputeDeflationData,printf, DIRECT
KSPDGMRESComputeDeflationData,printf, DIRECT
KSPDGMRESApplyDeflation,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESApplyDeflation,PetscError, DIRECT
KSPDGMRESApplyDeflation,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, %struct._p_Vec*, %struct._p_Vec*)*, INDIRECT 
KSPDGMRESApplyDeflation,PetscError, DIRECT
KSPDGMRESApplyDeflation,PetscObjectComm, DIRECT
KSPDGMRESApplyDeflation,PetscError, DIRECT
KSPDGMRESApplyDeflation,printf, DIRECT
KSPDGMRESApplyDeflation,printf, DIRECT
KSPDGMRESImproveEig,PetscObjectQueryFunction_Private, DIRECT
KSPDGMRESImproveEig,PetscError, DIRECT
KSPDGMRESImproveEig,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_KSP*, i32)*, INDIRECT 
KSPDGMRESImproveEig,PetscError, DIRECT
KSPDGMRESImproveEig,PetscObjectComm, DIRECT
KSPDGMRESImproveEig,PetscError, DIRECT
KSPDGMRESImproveEig,printf, DIRECT
KSPDGMRESImproveEig,printf, DIRECT
KSPSetUp_DGMRES,KSPSetUp_GMRES, DIRECT
KSPSetUp_DGMRES,PetscError, DIRECT
KSPSetUp_DGMRES,printf, DIRECT
