CALLER, CALLEE, CALLTYPE
KSPComputeExtremeSingularValues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,printf, DIRECT
KSPComputeExtremeSingularValues_GMRES,printf, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscMemcpy, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscFPTrapPush, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,dgesvd_, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscMallocValidate, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,printf, DIRECT
KSPComputeExtremeSingularValues_GMRES,printf, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscFPTrapPop, DIRECT
KSPComputeExtremeSingularValues_GMRES,PetscError, DIRECT
KSPComputeExtremeSingularValues_GMRES,printf, DIRECT
KSPComputeExtremeSingularValues_GMRES,printf, DIRECT
PetscBLASIntCast,PetscError, DIRECT
PetscBLASIntCast,printf, DIRECT
PetscBLASIntCast,printf, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,PetscError, DIRECT
PetscMemcpy,printf, DIRECT
PetscMemcpy,printf, DIRECT
KSPComputeEigenvalues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscBLASIntCast, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscObjectComm, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,printf, DIRECT
KSPComputeEigenvalues_GMRES,printf, DIRECT
KSPComputeEigenvalues_GMRES,PetscMemcpy, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscFPTrapPush, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,dgeev_, DIRECT
KSPComputeEigenvalues_GMRES,PetscMallocValidate, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,printf, DIRECT
KSPComputeEigenvalues_GMRES,printf, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscFPTrapPop, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscMallocA, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscSortRealWithPermutation, DIRECT
KSPComputeEigenvalues_GMRES,PetscSortRealWithPermutation, DIRECT
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPComputeEigenvalues_GMRES,PetscError, DIRECT
KSPComputeEigenvalues_GMRES,printf, DIRECT
KSPComputeEigenvalues_GMRES,printf, DIRECT
KSPComputeRitz_GMRES,PetscBLASIntCast, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscBLASIntCast, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscBLASIntCast, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscBLASIntCast, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMemcpy, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMemcpy, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,dgesv_, DIRECT
KSPComputeRitz_GMRES,PetscMallocValidate, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,printf, DIRECT
KSPComputeRitz_GMRES,printf, DIRECT
KSPComputeRitz_GMRES,PetscObjectComm, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscFPTrapPush, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,dgeev_, DIRECT
KSPComputeRitz_GMRES,PetscMallocValidate, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,printf, DIRECT
KSPComputeRitz_GMRES,printf, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,sqrt, DIRECT
KSPComputeRitz_GMRES,sqrt, DIRECT
KSPComputeRitz_GMRES,sqrt, DIRECT
KSPComputeRitz_GMRES,PetscSortRealWithPermutation, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMemcpy, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMallocA, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
KSPComputeRitz_GMRES,PetscMemcpy, DIRECT
KSPComputeRitz_GMRES,PetscError, DIRECT
