CALLER, CALLEE, CALLTYPE
KSPSetUp_GMRES,PetscMallocA, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscLogObjectMemory, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscMallocA, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscLogObjectMemory, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscMallocA, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscLogObjectMemory, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscMallocA, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscMallocA, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscMallocA, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscLogObjectMemory, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,KSPCreateVecs, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscLogObjectParent, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,KSPCreateVecs, DIRECT
KSPSetUp_GMRES,PetscLogObjectParent, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,PetscLogObjectParent, DIRECT
KSPSetUp_GMRES,PetscError, DIRECT
KSPSetUp_GMRES,printf, DIRECT
KSPSetUp_GMRES,printf, DIRECT
KSPSetUp_GMRES,PetscLogObjectParent, DIRECT
KSPSetUp_GMRES,PetscLogObjectParent, DIRECT
KSPSetUp_GMRES,PetscLogObjectParent, DIRECT
KSPGMRESCycle,VecNormalize, DIRECT
KSPGMRESCycle,PetscError, DIRECT
KSPGMRESCycle,PetscIsInfReal, DIRECT
KSPGMRESCycle,PetscIsNanReal, DIRECT
KSPGMRESCycle,PetscObjectComm, DIRECT
KSPGMRESCycle,PetscError, DIRECT
KSPGMRESCycle,PCGetFailedReasonRank, DIRECT
KSPGMRESCycle,PetscError, DIRECT
KSPGMRESCycle,PetscObjectComm, DIRECT
KSPGMRESCycle,MPI_Comm_size, DIRECT
KSPGMRESCycle,PetscObjectComm, DIRECT
KSPGMRESCycle,MPI_Allreduce, DIRECT
KSPGMRESCycle,MPI_Error_string, DIRECT
