CALLER, CALLEE, CALLTYPE
KSPDestroy_LSQR,VecDestroyVecs, DIRECT
KSPDestroy_LSQR,PetscError, DIRECT
KSPDestroy_LSQR,VecDestroyVecs, DIRECT
KSPDestroy_LSQR,PetscError, DIRECT
KSPDestroy_LSQR,VecDestroy, DIRECT
KSPDestroy_LSQR,PetscError, DIRECT
KSPDestroy_LSQR,KSPSetConvergenceTest, DIRECT
KSPDestroy_LSQR,PetscError, DIRECT
KSPDestroy_LSQR,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
KSPDestroy_LSQR,PetscError, DIRECT
KSPDestroy_LSQR,printf, DIRECT
KSPDestroy_LSQR,printf, DIRECT
KSPLSQRSetComputeStandardErrorVec,printf, DIRECT
KSPLSQRSetComputeStandardErrorVec,printf, DIRECT
KSPLSQRSetExactMatNorm,printf, DIRECT
KSPLSQRSetExactMatNorm,printf, DIRECT
KSPLSQRGetStandardErrorVec,printf, DIRECT
KSPLSQRGetStandardErrorVec,printf, DIRECT
KSPLSQRGetNorms,printf, DIRECT
KSPLSQRGetNorms,printf, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscCheckPointer, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscObjectGetTabLevel, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscObjectGetOptionsPrefix, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscStrncpy, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscStrtolower, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerPushFormat, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerASCIIAddTab, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerASCIIPrintf, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerASCIIPrintf, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerASCIIPrintf, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerASCIISubtractTab, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,PetscViewerPopFormat, DIRECT
KSPLSQRMonitorResidual,PetscError, DIRECT
KSPLSQRMonitorResidual,printf, DIRECT
KSPLSQRMonitorResidual,printf, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscCheckPointer, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscCheckPointer, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscViewerPushFormat, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscDrawLGReset, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,log10, DIRECT
KSPLSQRMonitorResidualDrawLG,log10, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscDrawLGAddPoint, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,KSPGetConvergedReason, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscDrawLGDraw, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscDrawLGSave, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscViewerPopFormat, DIRECT
KSPLSQRMonitorResidualDrawLG,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLG,printf, DIRECT
KSPLSQRMonitorResidualDrawLG,printf, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,PetscViewerAndFormatCreate, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,PetscObjectComm, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,KSPMonitorLGCreate, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,PetscError, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,printf, DIRECT
KSPLSQRMonitorResidualDrawLGCreate,printf, DIRECT
KSPSetFromOptions_LSQR,PetscOptionsHead, DIRECT
KSPSetFromOptions_LSQR,PetscError, DIRECT
KSPSetFromOptions_LSQR,PetscOptionsBool_Private, DIRECT
KSPSetFromOptions_LSQR,PetscError, DIRECT
KSPSetFromOptions_LSQR,PetscOptionsBool_Private, DIRECT
KSPSetFromOptions_LSQR,PetscError, DIRECT
KSPSetFromOptions_LSQR,KSPMonitorSetFromOptions, DIRECT
KSPSetFromOptions_LSQR,PetscError, DIRECT
KSPSetFromOptions_LSQR,printf, DIRECT
KSPSetFromOptions_LSQR,printf, DIRECT
KSPSetFromOptions_LSQR,printf, DIRECT
KSPSetFromOptions_LSQR,printf, DIRECT
KSPView_LSQR,PetscObjectTypeCompare, DIRECT
KSPView_LSQR,PetscError, DIRECT
KSPView_LSQR,VecNorm, DIRECT
KSPView_LSQR,PetscError, DIRECT
KSPView_LSQR,PetscViewerASCIIPrintf, DIRECT
KSPView_LSQR,PetscError, DIRECT
KSPView_LSQR,PetscViewerASCIIPrintf, DIRECT
KSPView_LSQR,PetscError, DIRECT
KSPView_LSQR,PetscViewerASCIIPrintf, DIRECT
KSPView_LSQR,PetscError, DIRECT
KSPView_LSQR,PetscViewerASCIIPrintf, DIRECT
KSPView_LSQR,PetscError, DIRECT
KSPView_LSQR,printf, DIRECT
KSPView_LSQR,printf, DIRECT
KSPLSQRConvergedDefault,KSPConvergedDefault, DIRECT
KSPLSQRConvergedDefault,PetscError, DIRECT
KSPLSQRConvergedDefault,printf, DIRECT
KSPLSQRConvergedDefault,printf, DIRECT
KSPLSQRConvergedDefault,PetscInfo_Private, DIRECT
KSPLSQRConvergedDefault,PetscError, DIRECT
KSPLSQRConvergedDefault,PetscInfo_Private, DIRECT
KSPLSQRConvergedDefault,PetscError, DIRECT
KSPLSQRConvergedDefault,printf, DIRECT
KSPLSQRConvergedDefault,printf, DIRECT
KSPCreate_LSQR,PetscMallocA, DIRECT
KSPCreate_LSQR,PetscLogObjectMemory, DIRECT
KSPCreate_LSQR,PetscError, DIRECT
KSPCreate_LSQR,KSPSetSupportedNorm, DIRECT
KSPCreate_LSQR,PetscError, DIRECT
KSPCreate_LSQR,KSPGetAndClearConvergenceTest, DIRECT
KSPCreate_LSQR,PetscError, DIRECT
KSPCreate_LSQR,KSPConvergedDefaultCreate, DIRECT
KSPCreate_LSQR,PetscError, DIRECT
KSPCreate_LSQR,KSPSetConvergenceTest, DIRECT
KSPCreate_LSQR,PetscError, DIRECT
KSPCreate_LSQR,printf, DIRECT
KSPCreate_LSQR,printf, DIRECT
KSPSetUp_LSQR,PetscObjectTypeCompare, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,VecDestroyVecs, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,VecDestroyVecs, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,KSPCreateVecs, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,VecDuplicate, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,VecSet, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,VecDestroy, DIRECT
KSPSetUp_LSQR,PetscError, DIRECT
KSPSetUp_LSQR,printf, DIRECT
KSPSetUp_LSQR,printf, DIRECT
KSPSolve_LSQR,PCGetDiagonalScale, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PetscObjectComm, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PCGetOperators, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PetscObjectTypeCompare, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,VecSet, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,KSP_MatMult, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,VecAYPX, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,VecCopy, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,VecNorm, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PetscIsInfOrNanReal, DIRECT
KSPSolve_LSQR,PetscObjectComm, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PCGetFailedReasonRank, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PetscObjectComm, DIRECT
KSPSolve_LSQR,MPI_Comm_size, DIRECT
KSPSolve_LSQR,PetscObjectComm, DIRECT
KSPSolve_LSQR,MPI_Allreduce, DIRECT
KSPSolve_LSQR,MPI_Error_string, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PCSetFailedReason, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,VecSetInf, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PCSetFailedReason, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,printf, DIRECT
KSPSolve_LSQR,printf, DIRECT
KSPSolve_LSQR,KSPLogResidualHistory, DIRECT
KSPSolve_LSQR,KSPMonitor, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,EMPTYNAME = (_p_KSP->any pointer@i64 1176) :: i32 (%struct._p_KSP*, i32, double, i32*, i8*)*, INDIRECT 
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,printf, DIRECT
KSPSolve_LSQR,printf, DIRECT
KSPSolve_LSQR,VecScale, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,KSP_MatMultTranspose, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,VecNorm, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PetscIsInfOrNanReal, DIRECT
KSPSolve_LSQR,PetscObjectComm, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PCGetFailedReasonRank, DIRECT
KSPSolve_LSQR,PetscError, DIRECT
KSPSolve_LSQR,PetscObjectComm, DIRECT
KSPSolve_LSQR,MPI_Comm_size, DIRECT
