CALLER, CALLEE, CALLTYPE
KSPSetUp_Richardson,KSPSetWorkVecs, DIRECT
KSPSetUp_Richardson,PetscError, DIRECT
KSPSetUp_Richardson,KSPSetWorkVecs, DIRECT
KSPSetUp_Richardson,PetscError, DIRECT
KSPSetUp_Richardson,printf, DIRECT
KSPSetUp_Richardson,printf, DIRECT
KSPSolve_Richardson,PCGetDiagonalScale, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,PetscObjectComm, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,PCGetOperators, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,VecGetSize, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,VecGetSize, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,KSPSetWorkVecs, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,KSPSetWorkVecs, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,PCApplyRichardsonExists, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,MatGetNullSpace, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,PCApplyRichardson, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,printf, DIRECT
KSPSolve_Richardson,printf, DIRECT
KSPSolve_Richardson,PetscInfo_Private, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,KSP_MatMult, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,VecAYPX, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,VecCopy, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,KSP_PCApply, DIRECT
KSPSolve_Richardson,PetscError, DIRECT
KSPSolve_Richardson,VecNorm, DIRECT
