CALLER, CALLEE, CALLTYPE
KSPCreate_TFQMR,KSPSetSupportedNorm, DIRECT
KSPCreate_TFQMR,PetscError, DIRECT
KSPCreate_TFQMR,KSPSetSupportedNorm, DIRECT
KSPCreate_TFQMR,PetscError, DIRECT
KSPCreate_TFQMR,KSPSetSupportedNorm, DIRECT
KSPCreate_TFQMR,PetscError, DIRECT
KSPCreate_TFQMR,KSPSetSupportedNorm, DIRECT
KSPCreate_TFQMR,PetscError, DIRECT
KSPCreate_TFQMR,printf, DIRECT
KSPCreate_TFQMR,printf, DIRECT
KSPSetUp_TFQMR,PetscObjectComm, DIRECT
KSPSetUp_TFQMR,PetscError, DIRECT
KSPSetUp_TFQMR,KSPSetWorkVecs, DIRECT
KSPSetUp_TFQMR,PetscError, DIRECT
KSPSetUp_TFQMR,printf, DIRECT
KSPSetUp_TFQMR,printf, DIRECT
KSPSolve_TFQMR,KSPInitialResidual, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,VecNorm, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,PetscIsInfReal, DIRECT
KSPSolve_TFQMR,PetscIsNanReal, DIRECT
KSPSolve_TFQMR,PetscObjectComm, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,PCGetFailedReasonRank, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,PetscObjectComm, DIRECT
KSPSolve_TFQMR,MPI_Comm_size, DIRECT
KSPSolve_TFQMR,PetscObjectComm, DIRECT
KSPSolve_TFQMR,MPI_Allreduce, DIRECT
KSPSolve_TFQMR,MPI_Error_string, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,PCSetFailedReason, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,VecSetInf, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,PCSetFailedReason, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,printf, DIRECT
KSPSolve_TFQMR,printf, DIRECT
KSPSolve_TFQMR,KSPMonitor, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,EMPTYNAME = (_p_KSP->any pointer@i64 1176) :: i32 (%struct._p_KSP*, i32, double, i32*, i8*)*, INDIRECT 
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,printf, DIRECT
KSPSolve_TFQMR,printf, DIRECT
KSPSolve_TFQMR,VecCopy, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
KSPSolve_TFQMR,VecDot, DIRECT
KSPSolve_TFQMR,PetscError, DIRECT
