CALLER, CALLEE, CALLTYPE
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscCheckPointer, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscCheckPointer, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,EMPTYNAME = (_DMKSPOps->any pointer@i64 32) :: i32 (%struct._p_DMKSP*, %struct._p_DMKSP*)*, INDIRECT 
DMKSPCopy,PetscError, DIRECT
DMKSPCopy,printf, DIRECT
DMKSPCopy,printf, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,PetscCheckPointer, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,PetscInfo_Private, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,PetscObjectComm, DIRECT
DMGetDMKSP,DMKSPCreate, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,DMCoarsenHookAdd, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,DMRefineHookAdd, DIRECT
DMGetDMKSP,PetscError, DIRECT
DMGetDMKSP,printf, DIRECT
DMGetDMKSP,printf, DIRECT
DMKSPCreate,KSPInitializePackage, DIRECT
DMKSPCreate,PetscError, DIRECT
DMKSPCreate,PetscMallocA, DIRECT
DMKSPCreate,PetscHeaderCreate_Private, DIRECT
DMKSPCreate,PetscLogPHC = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PetscObject*)*, INDIRECT 
DMKSPCreate,PetscLogObjectMemory, DIRECT
DMKSPCreate,PetscError, DIRECT
DMKSPCreate,printf, DIRECT
DMKSPCreate,printf, DIRECT
DMCoarsenHook_DMKSP,DMCopyDMKSP, DIRECT
DMCoarsenHook_DMKSP,PetscError, DIRECT
DMCoarsenHook_DMKSP,printf, DIRECT
DMCoarsenHook_DMKSP,printf, DIRECT
DMRefineHook_DMKSP,DMCopyDMKSP, DIRECT
DMRefineHook_DMKSP,PetscError, DIRECT
DMRefineHook_DMKSP,printf, DIRECT
DMRefineHook_DMKSP,printf, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,PetscCheckPointer, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,DMGetDMKSP, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,PetscInfo_Private, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,PetscObjectComm, DIRECT
DMGetDMKSPWrite,DMKSPCreate, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,DMKSPCopy, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,DMKSPDestroy, DIRECT
DMGetDMKSPWrite,PetscError, DIRECT
DMGetDMKSPWrite,printf, DIRECT
DMGetDMKSPWrite,printf, DIRECT
DMKSPDestroy,printf, DIRECT
DMKSPDestroy,printf, DIRECT
DMKSPDestroy,PetscCheckPointer, DIRECT
DMKSPDestroy,PetscError, DIRECT
DMKSPDestroy,PetscError, DIRECT
DMKSPDestroy,PetscError, DIRECT
DMKSPDestroy,printf, DIRECT
DMKSPDestroy,printf, DIRECT
DMKSPDestroy,EMPTYNAME = (_DMKSPOps->any pointer@i64 24) :: i32 (%struct._p_DMKSP**)*, INDIRECT 
DMKSPDestroy,PetscError, DIRECT
DMKSPDestroy,PetscHeaderDestroy_Private, DIRECT
DMKSPDestroy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMKSPDestroy,PetscError, DIRECT
DMKSPDestroy,printf, DIRECT
DMKSPDestroy,printf, DIRECT
DMCopyDMKSP,PetscError, DIRECT
DMCopyDMKSP,PetscCheckPointer, DIRECT
