CALLER, CALLEE, CALLTYPE
dmkspsetcomputerhs_,DMGetDMKSP, DIRECT
dmkspsetcomputerhs_,DMKSPSetComputeRHS, DIRECT
ourkspcomputerhs,KSPGetDM, DIRECT
ourkspcomputerhs,PetscError, DIRECT
ourkspcomputerhs,DMGetDMKSP, DIRECT
ourkspcomputerhs,PetscError, DIRECT
ourkspcomputerhs,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_KSP**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourkspcomputerhs,PetscError, DIRECT
dmkspsetcomputeinitialguess_,DMGetDMKSP, DIRECT
dmkspsetcomputeinitialguess_,DMKSPSetComputeInitialGuess, DIRECT
ourkspcomputeinitialguess,KSPGetDM, DIRECT
ourkspcomputeinitialguess,PetscError, DIRECT
ourkspcomputeinitialguess,DMGetDMKSP, DIRECT
ourkspcomputeinitialguess,PetscError, DIRECT
ourkspcomputeinitialguess,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_KSP**, %struct._p_Vec**, i8*, i32*)*, INDIRECT 
ourkspcomputeinitialguess,PetscError, DIRECT
dmkspsetcomputeoperators_,DMGetDMKSP, DIRECT
dmkspsetcomputeoperators_,DMKSPSetComputeOperators, DIRECT
ourkspcomputeoperators,KSPGetDM, DIRECT
ourkspcomputeoperators,PetscError, DIRECT
ourkspcomputeoperators,DMGetDMKSP, DIRECT
ourkspcomputeoperators,PetscError, DIRECT
ourkspcomputeoperators,EMPTYNAME = (any pointer->any pointer@i64 0) :: void (%struct._p_KSP**, %struct._p_Mat**, %struct._p_Mat**, i8*, i32*)*, INDIRECT 
ourkspcomputeoperators,PetscError, DIRECT
