CALLER, CALLEE, CALLTYPE
MatMult_GlobalToLocalNormal,MatShellGetContext, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,DMGetLocalVector, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,DMGlobalToLocalBegin, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,DMGlobalToLocalEnd, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,VecPointwiseMult, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,VecSet, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,DMLocalToGlobalBegin, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,DMLocalToGlobalEnd, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,DMRestoreLocalVector, DIRECT
MatMult_GlobalToLocalNormal,PetscError, DIRECT
MatMult_GlobalToLocalNormal,printf, DIRECT
MatMult_GlobalToLocalNormal,printf, DIRECT
DMGlobalToLocalSolve,PetscObjectTypeCompare, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMCreateLocalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,VecSet, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMPlexGetSimplexOrBoxCells, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMPlexVecGetClosure, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PetscMallocA, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMPlexVecSetClosure, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMHasNamedLocalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMGetNumFields, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PetscMallocA, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMGetNamedLocalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMProjectFunctionLocal, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMRestoreNamedLocalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PetscFreeA, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMGetNamedLocalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,VecGetSize, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,VecGetLocalSize, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PetscObjectComm, DIRECT
DMGlobalToLocalSolve,MatCreate, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,MatSetSizes, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,MatSetType, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,MatSetUp, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,MatShellSetContext, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,MatShellSetOperation, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PetscObjectComm, DIRECT
DMGlobalToLocalSolve,KSPCreate, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPSetOperators, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPSetType, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPGetPC, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,PCSetType, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPSetInitialGuessNonzero, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPSetUp, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMGetGlobalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,VecSet, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,VecPointwiseMult, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMLocalToGlobalBegin, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMLocalToGlobalEnd, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPSolve, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMRestoreGlobalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,KSPDestroy, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,MatDestroy, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,VecDestroy, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,DMRestoreNamedLocalVector, DIRECT
DMGlobalToLocalSolve,PetscError, DIRECT
DMGlobalToLocalSolve,printf, DIRECT
DMGlobalToLocalSolve,printf, DIRECT
DMGlobalToLocalSolve_project1,printf, DIRECT
DMGlobalToLocalSolve_project1,printf, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,PetscCheckPointer, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,DMGetLocalVector, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,VecGetDM, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,DMGetLocalVector, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,DMGlobalToLocalBegin, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,DMGlobalToLocalEnd, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,DMProjectFieldLocal, DIRECT
DMProjectField,PetscError, DIRECT
DMProjectField,DMLocalToGlobalBegin, DIRECT
