CALLER, CALLEE, CALLTYPE
MatCreate_LMVMDiagBrdn,MatCreate_LMVM, DIRECT
MatCreate_LMVMDiagBrdn,PetscError, DIRECT
MatCreate_LMVMDiagBrdn,PetscObjectChangeTypeName, DIRECT
MatCreate_LMVMDiagBrdn,PetscError, DIRECT
MatCreate_LMVMDiagBrdn,PetscMallocA, DIRECT
MatCreate_LMVMDiagBrdn,PetscLogObjectMemory, DIRECT
MatCreate_LMVMDiagBrdn,PetscError, DIRECT
MatCreate_LMVMDiagBrdn,printf, DIRECT
MatCreate_LMVMDiagBrdn,printf, DIRECT
MatSetUp_DiagBrdn,MatSetUp_LMVM, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,PetscMallocA, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,VecDuplicate, DIRECT
MatSetUp_DiagBrdn,PetscError, DIRECT
MatSetUp_DiagBrdn,printf, DIRECT
MatSetUp_DiagBrdn,printf, DIRECT
MatSetFromOptions_DiagBrdn,MatSetFromOptions_LMVM, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsHead, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsReal_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsReal_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsReal_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsReal_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsBool_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsReal_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscOptionsInt_Private, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,printf, DIRECT
MatSetFromOptions_DiagBrdn,printf, DIRECT
MatSetFromOptions_DiagBrdn,PetscObjectComm, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscObjectComm, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscObjectComm, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,PetscObjectComm, DIRECT
MatSetFromOptions_DiagBrdn,PetscError, DIRECT
MatSetFromOptions_DiagBrdn,printf, DIRECT
MatSetFromOptions_DiagBrdn,printf, DIRECT
MatDestroy_DiagBrdn,PetscFreeA, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,VecDestroy, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,MatDestroy_LMVM, DIRECT
MatDestroy_DiagBrdn,PetscError, DIRECT
MatDestroy_DiagBrdn,printf, DIRECT
MatDestroy_DiagBrdn,printf, DIRECT
MatSolve_DiagBrdn,PetscObjectComm, DIRECT
MatSolve_DiagBrdn,PetscError, DIRECT
MatSolve_DiagBrdn,PetscError, DIRECT
MatSolve_DiagBrdn,PetscObjectComm, DIRECT
MatSolve_DiagBrdn,PetscError, DIRECT
MatSolve_DiagBrdn,PetscObjectComm, DIRECT
MatSolve_DiagBrdn,PetscError, DIRECT
MatSolve_DiagBrdn,VecPointwiseMult, DIRECT
MatSolve_DiagBrdn,PetscError, DIRECT
MatSolve_DiagBrdn,printf, DIRECT
MatSolve_DiagBrdn,printf, DIRECT
MatView_DiagBrdn,PetscObjectTypeCompare, DIRECT
MatView_DiagBrdn,PetscError, DIRECT
MatView_DiagBrdn,PetscViewerASCIIPrintf, DIRECT
MatView_DiagBrdn,PetscError, DIRECT
MatView_DiagBrdn,PetscViewerASCIIPrintf, DIRECT
MatView_DiagBrdn,PetscError, DIRECT
MatView_DiagBrdn,PetscViewerASCIIPrintf, DIRECT
MatView_DiagBrdn,PetscError, DIRECT
MatView_DiagBrdn,MatView_LMVM, DIRECT
MatView_DiagBrdn,PetscError, DIRECT
MatView_DiagBrdn,printf, DIRECT
MatView_DiagBrdn,printf, DIRECT
MatAllocate_DiagBrdn,MatAllocate_LMVM, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,PetscMallocA, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,VecDuplicate, DIRECT
MatAllocate_DiagBrdn,PetscError, DIRECT
MatAllocate_DiagBrdn,printf, DIRECT
MatAllocate_DiagBrdn,printf, DIRECT
MatReset_DiagBrdn,VecSet, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,PetscFreeA, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,VecDestroy, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,MatReset_LMVM, DIRECT
MatReset_DiagBrdn,PetscError, DIRECT
MatReset_DiagBrdn,printf, DIRECT
MatReset_DiagBrdn,printf, DIRECT
MatMult_DiagBrdn,PetscObjectComm, DIRECT
MatMult_DiagBrdn,PetscError, DIRECT
MatMult_DiagBrdn,PetscError, DIRECT
MatMult_DiagBrdn,PetscObjectComm, DIRECT
MatMult_DiagBrdn,PetscError, DIRECT
MatMult_DiagBrdn,PetscObjectComm, DIRECT
MatMult_DiagBrdn,PetscError, DIRECT
MatMult_DiagBrdn,VecPointwiseDivide, DIRECT
MatMult_DiagBrdn,PetscError, DIRECT
MatMult_DiagBrdn,printf, DIRECT
MatMult_DiagBrdn,printf, DIRECT
MatUpdate_DiagBrdn,printf, DIRECT
MatUpdate_DiagBrdn,printf, DIRECT
MatUpdate_DiagBrdn,VecAYPX, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAYPX, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotBegin, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotBegin, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotEnd, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotEnd, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,MatUpdateKernel_LMVM, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDot, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecCopy, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecReciprocal, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDot, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPBY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPBY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPBYPCZ, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecReciprocal, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAbs, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDot, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPBY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPBY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPBYPCZ, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAXPY, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecAbs, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseMult, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecPointwiseDivide, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotBegin, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotBegin, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotEnd, DIRECT
MatUpdate_DiagBrdn,PetscError, DIRECT
MatUpdate_DiagBrdn,VecDotEnd, DIRECT
