CALLER, CALLEE, CALLTYPE
MatLMVMUpdate,PetscCheckPointer, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscCheckPointer, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscCheckPointer, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscObjectBaseTypeCompare, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscObjectComm, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,MatLMVMAllocate, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscObjectComm, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscObjectComm, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,PetscObjectBaseTypeCompare, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,MatLMVMUpdate, DIRECT
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,EMPTYNAME = (_MatOps_LMVM->any pointer@i64 0) :: i32 (%struct._p_Mat*, %struct._p_Vec*, %struct._p_Vec*)*, INDIRECT 
MatLMVMUpdate,PetscError, DIRECT
MatLMVMUpdate,printf, DIRECT
MatLMVMUpdate,printf, DIRECT
MatLMVMAllocate,PetscCheckPointer, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscCheckPointer, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscCheckPointer, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscObjectBaseTypeCompare, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscObjectComm, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,EMPTYNAME = (_MatOps_LMVM->any pointer@i64 8) :: i32 (%struct._p_Mat*, %struct._p_Vec*, %struct._p_Vec*)*, INDIRECT 
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,PetscObjectBaseTypeCompare, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,MatLMVMAllocate, DIRECT
MatLMVMAllocate,PetscError, DIRECT
MatLMVMAllocate,printf, DIRECT
MatLMVMAllocate,printf, DIRECT
MatLMVMClearJ0,PetscObjectComm, DIRECT
MatLMVMClearJ0,PetscCheckPointer, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,PetscObjectBaseTypeCompare, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,VecDestroy, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,MatDestroy, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,PCDestroy, DIRECT
MatLMVMClearJ0,PetscError, DIRECT
MatLMVMClearJ0,printf, DIRECT
MatLMVMClearJ0,printf, DIRECT
MatLMVMSetJ0Scale,PetscObjectComm, DIRECT
MatLMVMSetJ0Scale,PetscCheckPointer, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,PetscObjectBaseTypeCompare, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,MatLMVMClearJ0, DIRECT
MatLMVMSetJ0Scale,PetscError, DIRECT
MatLMVMSetJ0Scale,printf, DIRECT
MatLMVMSetJ0Scale,printf, DIRECT
MatLMVMSetJ0Diag,PetscObjectComm, DIRECT
MatLMVMSetJ0Diag,PetscCheckPointer, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscCheckPointer, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscObjectBaseTypeCompare, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscObjectComm, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
MatLMVMSetJ0Diag,PetscError, DIRECT
