CALLER, CALLEE, CALLTYPE
PCBDDCNullSpaceAssembleCorrection,KSPGetOperators, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatGetNearNullSpace, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscViewerASCIISynchronizedPrintf, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,printf, DIRECT
PCBDDCNullSpaceAssembleCorrection,printf, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscObjectQuery, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscMallocA, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscObjectReference, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatGetSize, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatGetOption, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscObjectTypeCompare, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatConvert, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatMatMult, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatTransposeMatMult, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatDestroy, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatBindToCPU, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatFindZeroRows, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,ISGetLocalSize, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,ISGetIndices, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatSetValue, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,ISRestoreIndices, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatAssemblyBegin, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatAssemblyEnd, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatLUFactor, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatSeqDenseInvertFactors_Private, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,ISGetLocalSize, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,ISGetIndices, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatSetValue, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,ISRestoreIndices, DIRECT
PCBDDCNullSpaceAssembleCorrection,PetscError, DIRECT
PCBDDCNullSpaceAssembleCorrection,MatAssemblyBegin, DIRECT
