CALLER, CALLEE, CALLTYPE
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,PetscCheckPointer, DIRECT
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,PetscObjectQueryFunction_Private, DIRECT
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32*, i32*, %struct._p_KSP***)*, INDIRECT 
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,PetscObjectComm, DIRECT
PCBJacobiGetSubKSP,PetscError, DIRECT
PCBJacobiGetSubKSP,printf, DIRECT
PCBJacobiGetSubKSP,printf, DIRECT
PCBJacobiSetTotalBlocks,PetscError, DIRECT
PCBJacobiSetTotalBlocks,PetscCheckPointer, DIRECT
PCBJacobiSetTotalBlocks,PetscError, DIRECT
PCBJacobiSetTotalBlocks,PetscError, DIRECT
PCBJacobiSetTotalBlocks,PetscError, DIRECT
PCBJacobiSetTotalBlocks,PetscObjectComm, DIRECT
PCBJacobiSetTotalBlocks,PetscError, DIRECT
PCBJacobiSetTotalBlocks,PetscObjectQueryFunction_Private, DIRECT
PCBJacobiSetTotalBlocks,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32, i32*)*, INDIRECT 
PCBJacobiSetTotalBlocks,PetscError, DIRECT
PCBJacobiSetTotalBlocks,printf, DIRECT
PCBJacobiSetTotalBlocks,printf, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscCheckPointer, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscCheckPointer, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscObjectQueryFunction_Private, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32*, i32**)*, INDIRECT 
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,PetscObjectComm, DIRECT
PCBJacobiGetTotalBlocks,PetscError, DIRECT
PCBJacobiGetTotalBlocks,printf, DIRECT
PCBJacobiGetTotalBlocks,printf, DIRECT
PCBJacobiSetLocalBlocks,PetscError, DIRECT
PCBJacobiSetLocalBlocks,PetscCheckPointer, DIRECT
PCBJacobiSetLocalBlocks,PetscError, DIRECT
PCBJacobiSetLocalBlocks,PetscError, DIRECT
PCBJacobiSetLocalBlocks,PetscError, DIRECT
PCBJacobiSetLocalBlocks,PetscError, DIRECT
PCBJacobiSetLocalBlocks,PetscObjectQueryFunction_Private, DIRECT
PCBJacobiSetLocalBlocks,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32, i32*)*, INDIRECT 
PCBJacobiSetLocalBlocks,PetscError, DIRECT
PCBJacobiSetLocalBlocks,printf, DIRECT
PCBJacobiSetLocalBlocks,printf, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscCheckPointer, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscCheckPointer, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscObjectQueryFunction_Private, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32*, i32**)*, INDIRECT 
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,PetscObjectComm, DIRECT
PCBJacobiGetLocalBlocks,PetscError, DIRECT
PCBJacobiGetLocalBlocks,printf, DIRECT
PCBJacobiGetLocalBlocks,printf, DIRECT
PCCreate_BJacobi,PetscMallocA, DIRECT
PCCreate_BJacobi,PetscLogObjectMemory, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,PetscObjectComm, DIRECT
PCCreate_BJacobi,MPI_Comm_rank, DIRECT
PCCreate_BJacobi,MPI_Error_string, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,PetscObjectComposeFunction_Private, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,PetscObjectComposeFunction_Private, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,PetscObjectComposeFunction_Private, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,PetscObjectComposeFunction_Private, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,PetscObjectComposeFunction_Private, DIRECT
PCCreate_BJacobi,PetscError, DIRECT
PCCreate_BJacobi,printf, DIRECT
PCCreate_BJacobi,printf, DIRECT
PCSetUp_BJacobi,PetscObjectComm, DIRECT
PCSetUp_BJacobi,MPI_Comm_rank, DIRECT
PCSetUp_BJacobi,MPI_Error_string, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscObjectComm, DIRECT
PCSetUp_BJacobi,MPI_Comm_size, DIRECT
PCSetUp_BJacobi,MPI_Error_string, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,MatGetLocalSize, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,MatGetBlockSize, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PCSetUp_BJacobi_Multiproc, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,printf, DIRECT
PCSetUp_BJacobi,printf, DIRECT
PCSetUp_BJacobi,PetscObjectComm, DIRECT
PCSetUp_BJacobi,MPI_Comm_size, DIRECT
PCSetUp_BJacobi,PetscObjectComm, DIRECT
PCSetUp_BJacobi,MPI_Allreduce, DIRECT
PCSetUp_BJacobi,MPI_Error_string, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscObjectComm, DIRECT
PCSetUp_BJacobi,MPI_Comm_size, DIRECT
PCSetUp_BJacobi,PetscObjectComm, DIRECT
PCSetUp_BJacobi,MPI_Allreduce, DIRECT
PCSetUp_BJacobi,MPI_Error_string, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMallocA, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMallocA, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMemcpy, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,MatGetOwnershipRange, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMallocA, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMemcpy, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMallocA, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMallocA, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscMallocA, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,MatHasOperation, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,MatGetDiagonalBlock, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,MatGetDiagonalBlock, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PCSetUp_BJacobi_Singleblock, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,PCSetUp_BJacobi_Multiblock, DIRECT
PCSetUp_BJacobi,PetscError, DIRECT
PCSetUp_BJacobi,printf, DIRECT
PCSetUp_BJacobi,printf, DIRECT
PCDestroy_BJacobi,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_BJacobi,PetscError, DIRECT
PCDestroy_BJacobi,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_BJacobi,PetscError, DIRECT
PCDestroy_BJacobi,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_BJacobi,PetscError, DIRECT
PCDestroy_BJacobi,printf, DIRECT
PCDestroy_BJacobi,printf, DIRECT
PCSetFromOptions_BJacobi,PetscOptionsHead, DIRECT
PCSetFromOptions_BJacobi,PetscError, DIRECT
PCSetFromOptions_BJacobi,PetscOptionsInt_Private, DIRECT
PCSetFromOptions_BJacobi,PetscError, DIRECT
PCSetFromOptions_BJacobi,PCBJacobiSetTotalBlocks, DIRECT
PCSetFromOptions_BJacobi,PetscError, DIRECT
PCSetFromOptions_BJacobi,PetscOptionsInt_Private, DIRECT
PCSetFromOptions_BJacobi,PetscError, DIRECT
PCSetFromOptions_BJacobi,PCBJacobiSetLocalBlocks, DIRECT
PCSetFromOptions_BJacobi,PetscError, DIRECT
PCSetFromOptions_BJacobi,KSPSetFromOptions, DIRECT
PCSetFromOptions_BJacobi,KSPSetFromOptions, DIRECT
PCSetFromOptions_BJacobi,PetscError, DIRECT
PCSetFromOptions_BJacobi,printf, DIRECT
PCSetFromOptions_BJacobi,printf, DIRECT
PCSetFromOptions_BJacobi,printf, DIRECT
PCSetFromOptions_BJacobi,printf, DIRECT
PCView_BJacobi,PetscObjectTypeCompare, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscObjectTypeCompare, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscObjectTypeCompare, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPrintf, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPrintf, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscObjectComm, DIRECT
PCView_BJacobi,MPI_Comm_rank, DIRECT
PCView_BJacobi,MPI_Error_string, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerGetFormat, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPrintf, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PCGetOptionsPrefix, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPrintf, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerGetSubViewer, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPushTab, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,KSPView, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPopTab, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerFlush, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerRestoreSubViewer, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerFlush, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPopSynchronized, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerGetSubViewer, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPushTab, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,KSPView, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPopTab, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerFlush, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerRestoreSubViewer, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerFlush, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerASCIIPopSynchronized, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscViewerFlush, DIRECT
PCView_BJacobi,PetscError, DIRECT
PCView_BJacobi,PetscObjectComm, DIRECT
PCView_BJacobi,MPI_Comm_size, DIRECT
PCView_BJacobi,PetscObjectComm, DIRECT
