CALLER, CALLEE, CALLTYPE
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscCheckPointer, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscIsNanReal, DIRECT
PCEisenstatSetOmega,PetscObjectComm, DIRECT
PCEisenstatSetOmega,MPI_Comm_size, DIRECT
PCEisenstatSetOmega,PetscObjectComm, DIRECT
PCEisenstatSetOmega,MPI_Allreduce, DIRECT
PCEisenstatSetOmega,MPI_Error_string, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscObjectComm, DIRECT
PCEisenstatSetOmega,MPI_Comm_size, DIRECT
PCEisenstatSetOmega,PetscObjectComm, DIRECT
PCEisenstatSetOmega,MPI_Allreduce, DIRECT
PCEisenstatSetOmega,MPI_Error_string, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscEqualReal, DIRECT
PCEisenstatSetOmega,PetscObjectComm, DIRECT
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,PetscObjectQueryFunction_Private, DIRECT
PCEisenstatSetOmega,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, double)*, INDIRECT 
PCEisenstatSetOmega,PetscError, DIRECT
PCEisenstatSetOmega,printf, DIRECT
PCEisenstatSetOmega,printf, DIRECT
PCEisenstatSetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatSetNoDiagonalScaling,PetscCheckPointer, DIRECT
PCEisenstatSetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatSetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatSetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatSetNoDiagonalScaling,PetscObjectQueryFunction_Private, DIRECT
PCEisenstatSetNoDiagonalScaling,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32)*, INDIRECT 
PCEisenstatSetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatSetNoDiagonalScaling,printf, DIRECT
PCEisenstatSetNoDiagonalScaling,printf, DIRECT
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,PetscCheckPointer, DIRECT
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,PetscObjectQueryFunction_Private, DIRECT
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, double*)*, INDIRECT 
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,PetscObjectComm, DIRECT
PCEisenstatGetOmega,PetscError, DIRECT
PCEisenstatGetOmega,printf, DIRECT
PCEisenstatGetOmega,printf, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscCheckPointer, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscObjectQueryFunction_Private, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32*)*, INDIRECT 
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscObjectComm, DIRECT
PCEisenstatGetNoDiagonalScaling,PetscError, DIRECT
PCEisenstatGetNoDiagonalScaling,printf, DIRECT
PCEisenstatGetNoDiagonalScaling,printf, DIRECT
PCCreate_Eisenstat,PetscMallocA, DIRECT
PCCreate_Eisenstat,PetscLogObjectMemory, DIRECT
PCCreate_Eisenstat,PetscError, DIRECT
PCCreate_Eisenstat,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Eisenstat,PetscError, DIRECT
PCCreate_Eisenstat,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Eisenstat,PetscError, DIRECT
PCCreate_Eisenstat,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Eisenstat,PetscError, DIRECT
PCCreate_Eisenstat,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Eisenstat,PetscError, DIRECT
PCCreate_Eisenstat,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Eisenstat,PetscError, DIRECT
PCCreate_Eisenstat,printf, DIRECT
PCCreate_Eisenstat,printf, DIRECT
PCApply_Eisenstat,MatHasOperation, DIRECT
PCApply_Eisenstat,PetscError, DIRECT
PCApply_Eisenstat,MatMultDiagonalBlock, DIRECT
PCApply_Eisenstat,PetscError, DIRECT
PCApply_Eisenstat,VecPointwiseMult, DIRECT
PCApply_Eisenstat,PetscError, DIRECT
PCApply_Eisenstat,VecCopy, DIRECT
PCApply_Eisenstat,PetscError, DIRECT
PCApply_Eisenstat,printf, DIRECT
PCApply_Eisenstat,printf, DIRECT
PCPreSolve_Eisenstat,PetscObjectComm, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,VecDuplicate, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,PetscLogObjectParent, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,KSPGetInitialGuessNonzero, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,VecCopy, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,MatSOR, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,VecCopy, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,MatSOR, DIRECT
PCPreSolve_Eisenstat,PetscError, DIRECT
PCPreSolve_Eisenstat,printf, DIRECT
PCPreSolve_Eisenstat,printf, DIRECT
PCPostSolve_Eisenstat,VecCopy, DIRECT
PCPostSolve_Eisenstat,PetscError, DIRECT
PCPostSolve_Eisenstat,VecCopy, DIRECT
PCPostSolve_Eisenstat,PetscError, DIRECT
PCPostSolve_Eisenstat,MatSOR, DIRECT
PCPostSolve_Eisenstat,PetscError, DIRECT
PCPostSolve_Eisenstat,printf, DIRECT
PCPostSolve_Eisenstat,printf, DIRECT
PCSetFromOptions_Eisenstat,PetscOptionsHead, DIRECT
PCSetFromOptions_Eisenstat,PetscError, DIRECT
PCSetFromOptions_Eisenstat,PetscOptionsReal_Private, DIRECT
PCSetFromOptions_Eisenstat,PetscError, DIRECT
PCSetFromOptions_Eisenstat,PetscOptionsBool_Private, DIRECT
PCSetFromOptions_Eisenstat,PetscError, DIRECT
PCSetFromOptions_Eisenstat,PCEisenstatSetNoDiagonalScaling, DIRECT
PCSetFromOptions_Eisenstat,PetscError, DIRECT
PCSetFromOptions_Eisenstat,printf, DIRECT
PCSetFromOptions_Eisenstat,printf, DIRECT
PCSetFromOptions_Eisenstat,printf, DIRECT
PCSetFromOptions_Eisenstat,printf, DIRECT
PCDestroy_Eisenstat,PCReset_Eisenstat, DIRECT
PCDestroy_Eisenstat,PetscError, DIRECT
PCDestroy_Eisenstat,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_Eisenstat,PetscError, DIRECT
PCDestroy_Eisenstat,printf, DIRECT
PCDestroy_Eisenstat,printf, DIRECT
PCReset_Eisenstat,VecDestroy, DIRECT
PCReset_Eisenstat,PetscError, DIRECT
PCReset_Eisenstat,VecDestroy, DIRECT
PCReset_Eisenstat,PetscError, DIRECT
PCReset_Eisenstat,MatDestroy, DIRECT
PCReset_Eisenstat,PetscError, DIRECT
PCReset_Eisenstat,VecDestroy, DIRECT
PCReset_Eisenstat,PetscError, DIRECT
PCReset_Eisenstat,printf, DIRECT
PCReset_Eisenstat,printf, DIRECT
PCView_Eisenstat,PetscObjectTypeCompare, DIRECT
PCView_Eisenstat,PetscError, DIRECT
PCView_Eisenstat,PetscViewerASCIIPrintf, DIRECT
PCView_Eisenstat,PetscError, DIRECT
PCView_Eisenstat,PetscViewerASCIIPrintf, DIRECT
PCView_Eisenstat,PetscError, DIRECT
PCView_Eisenstat,PetscViewerASCIIPrintf, DIRECT
PCView_Eisenstat,PetscError, DIRECT
PCView_Eisenstat,printf, DIRECT
PCView_Eisenstat,printf, DIRECT
PCSetUp_Eisenstat,MatGetSize, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatGetLocalSize, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,PetscObjectComm, DIRECT
PCSetUp_Eisenstat,MatCreate, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatSetSizes, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatSetType, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatSetUp, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatShellSetContext, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,PetscLogObjectParent, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatShellSetOperation, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,printf, DIRECT
PCSetUp_Eisenstat,printf, DIRECT
PCSetUp_Eisenstat,MatCreateVecs, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,PetscLogObjectParent, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,MatGetDiagonal, DIRECT
PCSetUp_Eisenstat,PetscError, DIRECT
PCSetUp_Eisenstat,printf, DIRECT
PCSetUp_Eisenstat,printf, DIRECT
PCEisenstatSetOmega_Eisenstat,PetscObjectComm, DIRECT
PCEisenstatSetOmega_Eisenstat,PetscError, DIRECT
PCEisenstatSetOmega_Eisenstat,printf, DIRECT
PCEisenstatSetOmega_Eisenstat,printf, DIRECT
PCEisenstatSetNoDiagonalScaling_Eisenstat,printf, DIRECT
PCEisenstatSetNoDiagonalScaling_Eisenstat,printf, DIRECT
PCEisenstatGetOmega_Eisenstat,printf, DIRECT
PCEisenstatGetOmega_Eisenstat,printf, DIRECT
PCEisenstatGetNoDiagonalScaling_Eisenstat,printf, DIRECT
PCEisenstatGetNoDiagonalScaling_Eisenstat,printf, DIRECT
PCPreSolveChangeRHS_Eisenstat,printf, DIRECT
PCPreSolveChangeRHS_Eisenstat,printf, DIRECT
PCMult_Eisenstat,MatShellGetContext, DIRECT
PCMult_Eisenstat,PetscError, DIRECT
PCMult_Eisenstat,MatSOR, DIRECT
PCMult_Eisenstat,PetscError, DIRECT
PCMult_Eisenstat,printf, DIRECT
PCMult_Eisenstat,printf, DIRECT
