CALLER, CALLEE, CALLTYPE
PCFactorSetDefaultOrdering_Factor,MatSolverTypeGet, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,MatGetFactor, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscStrcmp, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,MatGetFactor, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,MatHeaderReplace, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,MatFactorGetCanUseOrdering, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,MatFactorGetPreferredOrdering, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscStrallocpy, DIRECT
PCFactorSetDefaultOrdering_Factor,PetscError, DIRECT
PCFactorSetDefaultOrdering_Factor,printf, DIRECT
PCFactorSetDefaultOrdering_Factor,printf, DIRECT
PCFactorSetUpMatSolverType,PetscError, DIRECT
PCFactorSetUpMatSolverType,PetscCheckPointer, DIRECT
PCFactorSetUpMatSolverType,PetscError, DIRECT
PCFactorSetUpMatSolverType,PetscError, DIRECT
PCFactorSetUpMatSolverType,PetscError, DIRECT
PCFactorSetUpMatSolverType,PetscObjectQueryFunction_Private, DIRECT
PCFactorSetUpMatSolverType,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*)*, INDIRECT 
PCFactorSetUpMatSolverType,PetscError, DIRECT
PCFactorSetUpMatSolverType,printf, DIRECT
PCFactorSetUpMatSolverType,printf, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscCheckPointer, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscIsNanReal, DIRECT
PCFactorSetZeroPivot,PetscObjectComm, DIRECT
PCFactorSetZeroPivot,MPI_Comm_size, DIRECT
PCFactorSetZeroPivot,PetscObjectComm, DIRECT
PCFactorSetZeroPivot,MPI_Allreduce, DIRECT
PCFactorSetZeroPivot,MPI_Error_string, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscObjectComm, DIRECT
PCFactorSetZeroPivot,MPI_Comm_size, DIRECT
PCFactorSetZeroPivot,PetscObjectComm, DIRECT
PCFactorSetZeroPivot,MPI_Allreduce, DIRECT
PCFactorSetZeroPivot,MPI_Error_string, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscEqualReal, DIRECT
PCFactorSetZeroPivot,PetscObjectComm, DIRECT
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,PetscObjectQueryFunction_Private, DIRECT
PCFactorSetZeroPivot,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, double)*, INDIRECT 
PCFactorSetZeroPivot,PetscError, DIRECT
PCFactorSetZeroPivot,printf, DIRECT
PCFactorSetZeroPivot,printf, DIRECT
PCFactorSetShiftType,PetscError, DIRECT
PCFactorSetShiftType,PetscCheckPointer, DIRECT
PCFactorSetShiftType,PetscError, DIRECT
PCFactorSetShiftType,PetscError, DIRECT
PCFactorSetShiftType,PetscError, DIRECT
PCFactorSetShiftType,PetscObjectComm, DIRECT
PCFactorSetShiftType,MPI_Comm_size, DIRECT
PCFactorSetShiftType,PetscObjectComm, DIRECT
PCFactorSetShiftType,MPI_Allreduce, DIRECT
PCFactorSetShiftType,MPI_Error_string, DIRECT
PCFactorSetShiftType,PetscError, DIRECT
