CALLER, CALLEE, CALLTYPE
PCCreate_QR,PetscMallocA, DIRECT
PCCreate_QR,PetscLogObjectMemory, DIRECT
PCCreate_QR,PetscError, DIRECT
PCCreate_QR,PCFactorInitialize, DIRECT
PCCreate_QR,PetscError, DIRECT
PCCreate_QR,printf, DIRECT
PCCreate_QR,printf, DIRECT
PCReset_QR,MatDestroy, DIRECT
PCReset_QR,PetscError, DIRECT
PCReset_QR,ISDestroy, DIRECT
PCReset_QR,PetscError, DIRECT
PCReset_QR,printf, DIRECT
PCReset_QR,printf, DIRECT
PCDestroy_QR,PCReset_QR, DIRECT
PCDestroy_QR,PetscError, DIRECT
PCDestroy_QR,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_QR,PetscError, DIRECT
PCDestroy_QR,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_QR,PetscError, DIRECT
PCDestroy_QR,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_QR,PetscError, DIRECT
PCDestroy_QR,printf, DIRECT
PCDestroy_QR,printf, DIRECT
PCApply_QR,MatSolve, DIRECT
PCApply_QR,PetscError, DIRECT
PCApply_QR,printf, DIRECT
PCApply_QR,printf, DIRECT
PCMatApply_QR,MatMatSolve, DIRECT
PCMatApply_QR,PetscError, DIRECT
PCMatApply_QR,printf, DIRECT
PCMatApply_QR,printf, DIRECT
PCApplyTranspose_QR,MatSolveTranspose, DIRECT
PCApplyTranspose_QR,PetscError, DIRECT
PCApplyTranspose_QR,printf, DIRECT
PCApplyTranspose_QR,printf, DIRECT
PCSetUp_QR,MatSetErrorIfFailure, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatGetFactorType, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatQRFactor, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatFactorGetError, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,printf, DIRECT
PCSetUp_QR,printf, DIRECT
PCSetUp_QR,MatGetFactor, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,PetscLogObjectParent, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatQRFactorSymbolic, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatGetInfo, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatQRFactorSymbolic, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatGetInfo, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatFactorGetError, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatFactorGetError, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,printf, DIRECT
PCSetUp_QR,printf, DIRECT
PCSetUp_QR,MatQRFactorNumeric, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatFactorGetError, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,PCFactorGetMatSolverType, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,MatFactorGetSolverType, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,PCFactorSetMatSolverType, DIRECT
PCSetUp_QR,PetscError, DIRECT
PCSetUp_QR,printf, DIRECT
PCSetUp_QR,printf, DIRECT
