CALLER, CALLEE, CALLTYPE
pcgamgsetproceqlim_,PCGAMGSetProcEqLim, DIRECT
pcgamgsetcoarseeqlim_,PCGAMGSetCoarseEqLim, DIRECT
pcgamgsetrepartition_,PCGAMGSetRepartition, DIRECT
pcgamgsetesteigkspmaxit_,PCGAMGSetEstEigKSPMaxIt, DIRECT
pcgamgsetusesaesteig_,PCGAMGSetUseSAEstEig, DIRECT
pcgamgseteigenvalues_,PCGAMGSetEigenvalues, DIRECT
pcgamgsetreuseinterpolation_,PCGAMGSetReuseInterpolation, DIRECT
pcgamgasmsetuseaggs_,PCGAMGASMSetUseAggs, DIRECT
pcgamgsetuseparallelcoarsegridsolve_,PCGAMGSetUseParallelCoarseGridSolve, DIRECT
pcgamgsetcpupincoarsegrids_,PCGAMGSetCpuPinCoarseGrids, DIRECT
pcgamgsetcoarsegridlayouttype_,PCGAMGSetCoarseGridLayoutType, DIRECT
pcgamgsetnlevels_,PCGAMGSetNlevels, DIRECT
pcgamgsetthreshold_,PCGAMGSetThreshold, DIRECT
pcgamgsetrankreductionfactors_,PCGAMGSetRankReductionFactors, DIRECT
pcgamgsetthresholdscale_,PCGAMGSetThresholdScale, DIRECT
