CALLER, CALLEE, CALLTYPE
pcgamggettype_,PCGAMGGetType, DIRECT
pcgamggettype_,PetscStrncpy, DIRECT
pcgamgsettype_,PetscMallocA, DIRECT
pcgamgsettype_,PetscStrncpy, DIRECT
pcgamgsettype_,PCGAMGSetType, DIRECT
pcgamgsettype_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
pcgamgsetesteigksptype_,PetscMallocA, DIRECT
pcgamgsetesteigksptype_,PetscStrncpy, DIRECT
pcgamgsetesteigksptype_,PCGAMGSetEstEigKSPType, DIRECT
pcgamgsetesteigksptype_,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
