CALLER, CALLEE, CALLTYPE
PCCreate_LSC,PetscMallocA, DIRECT
PCCreate_LSC,PetscLogObjectMemory, DIRECT
PCCreate_LSC,PetscError, DIRECT
PCCreate_LSC,printf, DIRECT
PCCreate_LSC,printf, DIRECT
PCApply_LSC,MatSchurComplementGetSubMatrices, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,KSPSolve, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,KSPCheckSolve, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,MatMult, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,VecPointwiseMult, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,MatMult, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,VecPointwiseMult, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,MatMult, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,KSPSolve, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,KSPCheckSolve, DIRECT
PCApply_LSC,PetscError, DIRECT
PCApply_LSC,printf, DIRECT
PCApply_LSC,printf, DIRECT
PCSetUp_LSC,printf, DIRECT
PCSetUp_LSC,printf, DIRECT
PCSetUp_LSC,PetscObjectComm, DIRECT
PCSetUp_LSC,KSPCreate, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,KSPSetErrorIfNotConverged, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,PetscObjectIncrementTabLevel, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,KSPSetType, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,KSPSetOptionsPrefix, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,KSPAppendOptionsPrefix, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatSchurComplementGetSubMatrices, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatCreateVecs, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatCreateVecs, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,VecDuplicate, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,printf, DIRECT
PCSetUp_LSC,printf, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,PetscObjectQuery, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,PetscObjectQuery, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,PetscObjectQuery, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,PetscObjectQuery, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatSchurComplementGetSubMatrices, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatMatMult, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatMatMult, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatSchurComplementGetSubMatrices, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,MatGetDiagonal, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,VecReciprocal, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,KSPSetOperators, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,KSPSetFromOptions, DIRECT
PCSetUp_LSC,PetscError, DIRECT
PCSetUp_LSC,printf, DIRECT
PCSetUp_LSC,printf, DIRECT
PCReset_LSC,VecDestroy, DIRECT
PCReset_LSC,PetscError, DIRECT
PCReset_LSC,VecDestroy, DIRECT
PCReset_LSC,PetscError, DIRECT
PCReset_LSC,VecDestroy, DIRECT
PCReset_LSC,PetscError, DIRECT
PCReset_LSC,VecDestroy, DIRECT
PCReset_LSC,PetscError, DIRECT
PCReset_LSC,KSPDestroy, DIRECT
PCReset_LSC,PetscError, DIRECT
PCReset_LSC,MatDestroy, DIRECT
PCReset_LSC,PetscError, DIRECT
PCReset_LSC,printf, DIRECT
PCReset_LSC,printf, DIRECT
PCDestroy_LSC,PCReset_LSC, DIRECT
PCDestroy_LSC,PetscError, DIRECT
PCDestroy_LSC,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_LSC,PetscError, DIRECT
PCDestroy_LSC,printf, DIRECT
PCDestroy_LSC,printf, DIRECT
PCSetFromOptions_LSC,PetscOptionsHead, DIRECT
PCSetFromOptions_LSC,PetscError, DIRECT
PCSetFromOptions_LSC,PetscOptionsBool_Private, DIRECT
PCSetFromOptions_LSC,PetscError, DIRECT
PCSetFromOptions_LSC,printf, DIRECT
PCSetFromOptions_LSC,printf, DIRECT
PCSetFromOptions_LSC,printf, DIRECT
PCSetFromOptions_LSC,printf, DIRECT
PCView_LSC,PetscObjectTypeCompare, DIRECT
PCView_LSC,PetscError, DIRECT
PCView_LSC,PetscViewerASCIIPushTab, DIRECT
PCView_LSC,PetscError, DIRECT
PCView_LSC,KSPView, DIRECT
PCView_LSC,PetscError, DIRECT
PCView_LSC,PetscViewerASCIIPrintf, DIRECT
PCView_LSC,PetscError, DIRECT
PCView_LSC,PetscViewerASCIIPopTab, DIRECT
PCView_LSC,PetscError, DIRECT
PCView_LSC,printf, DIRECT
