CALLER, CALLEE, CALLTYPE
DMSetBasisFunction_Internal,PetscError, DIRECT
DMSetBasisFunction_Internal,PetscError, DIRECT
DMSetBasisFunction_Internal,printf, DIRECT
DMSetBasisFunction_Internal,printf, DIRECT
xsin,sin, DIRECT
xsin,sin, DIRECT
xsin,sin, DIRECT
xsin,sin, DIRECT
xsin,sin, DIRECT
ysin,sin, DIRECT
ysin,sin, DIRECT
ysin,sin, DIRECT
ysin,sin, DIRECT
ysin,sin, DIRECT
zsin,sin, DIRECT
zsin,sin, DIRECT
zsin,sin, DIRECT
zsin,sin, DIRECT
zsin,sin, DIRECT
PCMGCreateCoarseSpace_Harmonic,PCMGCreateCoarseSpaceDefault_Private, DIRECT
PCMGCreateCoarseSpace_Harmonic,PetscError, DIRECT
PCMGCreateCoarseSpace_Harmonic,printf, DIRECT
PCMGCreateCoarseSpace_Harmonic,printf, DIRECT
PCMGCreateCoarseSpaceDefault_Private,DMGetCoordinateDim, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,DMGetNumFields, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscObjectComm, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscMallocA, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscMallocA, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,DMCreateGlobalVector, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,DMSetBasisFunction_Internal, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,DMProjectFunction, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscFreeA, DIRECT
PCMGCreateCoarseSpaceDefault_Private,PetscError, DIRECT
PCMGCreateCoarseSpaceDefault_Private,printf, DIRECT
PCMGCreateCoarseSpaceDefault_Private,printf, DIRECT
PCMGComputeCoarseSpace_Internal,PCMGGetCoarseSpaceConstructor, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
PCMGComputeCoarseSpace_Internal,PCMGGetCoarseSpaceConstructor, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
PCMGComputeCoarseSpace_Internal,PCMGGetCoarseSpaceConstructor, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
PCMGComputeCoarseSpace_Internal,PCMGGetCoarseSpaceConstructor, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
PCMGComputeCoarseSpace_Internal,PetscObjectComm, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
PCMGComputeCoarseSpace_Internal,PCMGGetSmoother, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
PCMGComputeCoarseSpace_Internal,KSPGetDM, DIRECT
PCMGComputeCoarseSpace_Internal,PetscError, DIRECT
