CALLER, CALLEE, CALLTYPE
PCFactorSetShiftType_Redundant,KSPGetPC, DIRECT
PCFactorSetShiftType_Redundant,PetscError, DIRECT
PCFactorSetShiftType_Redundant,PCFactorSetShiftType, DIRECT
PCFactorSetShiftType_Redundant,PetscError, DIRECT
PCFactorSetShiftType_Redundant,printf, DIRECT
PCFactorSetShiftType_Redundant,printf, DIRECT
PCRedundantSetNumber,PetscError, DIRECT
PCRedundantSetNumber,PetscCheckPointer, DIRECT
PCRedundantSetNumber,PetscError, DIRECT
PCRedundantSetNumber,PetscError, DIRECT
PCRedundantSetNumber,PetscError, DIRECT
PCRedundantSetNumber,PetscObjectComm, DIRECT
PCRedundantSetNumber,PetscError, DIRECT
PCRedundantSetNumber,PetscObjectQueryFunction_Private, DIRECT
PCRedundantSetNumber,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, i32)*, INDIRECT 
PCRedundantSetNumber,PetscError, DIRECT
PCRedundantSetNumber,printf, DIRECT
PCRedundantSetNumber,printf, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscCheckPointer, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscCheckPointer, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscCheckPointer, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,PetscObjectQueryFunction_Private, DIRECT
PCRedundantSetScatter,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, %struct._p_PetscSF*, %struct._p_PetscSF*)*, INDIRECT 
PCRedundantSetScatter,PetscError, DIRECT
PCRedundantSetScatter,printf, DIRECT
PCRedundantSetScatter,printf, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscCheckPointer, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscCheckPointer, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscObjectQueryFunction_Private, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, %struct._p_KSP**)*, INDIRECT 
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,PetscObjectComm, DIRECT
PCRedundantGetKSP,PetscError, DIRECT
PCRedundantGetKSP,printf, DIRECT
PCRedundantGetKSP,printf, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscCheckPointer, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscCheckPointer, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscCheckPointer, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscObjectQueryFunction_Private, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_PC*, %struct._p_Mat**, %struct._p_Mat**)*, INDIRECT 
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,PetscObjectComm, DIRECT
PCRedundantGetOperators,PetscError, DIRECT
PCRedundantGetOperators,printf, DIRECT
PCRedundantGetOperators,printf, DIRECT
PCCreate_Redundant,PetscMallocA, DIRECT
PCCreate_Redundant,PetscLogObjectMemory, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,PetscObjectComm, DIRECT
PCCreate_Redundant,MPI_Comm_size, DIRECT
PCCreate_Redundant,MPI_Error_string, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,PetscObjectComposeFunction_Private, DIRECT
PCCreate_Redundant,PetscError, DIRECT
PCCreate_Redundant,printf, DIRECT
PCCreate_Redundant,printf, DIRECT
PCApply_Redundant,KSPSolve, DIRECT
PCApply_Redundant,PetscError, DIRECT
PCApply_Redundant,KSPCheckSolve, DIRECT
PCApply_Redundant,PetscError, DIRECT
