CALLER, CALLEE, CALLTYPE
pctelescopegetksp_,PCTelescopeGetKSP, DIRECT
pctelescopegetreductionfactor_,PCTelescopeGetReductionFactor, DIRECT
pctelescopesetreductionfactor_,PCTelescopeSetReductionFactor, DIRECT
pctelescopegetignoredm_,PCTelescopeGetIgnoreDM, DIRECT
pctelescopesetignoredm_,PCTelescopeSetIgnoreDM, DIRECT
pctelescopegetusecoarsedm_,PCTelescopeGetUseCoarseDM, DIRECT
pctelescopesetusecoarsedm_,PCTelescopeSetUseCoarseDM, DIRECT
pctelescopegetignorekspcomputeoperators_,PCTelescopeGetIgnoreKSPComputeOperators, DIRECT
pctelescopesetignorekspcomputeoperators_,PCTelescopeSetIgnoreKSPComputeOperators, DIRECT
pctelescopegetdm_,PCTelescopeGetDM, DIRECT
pctelescopesetsubcommtype_,PCTelescopeSetSubcommType, DIRECT
pctelescopegetsubcommtype_,PCTelescopeGetSubcommType, DIRECT
