CALLER, CALLEE, CALLTYPE
PCTelescopeSetUp_scatters_CoarseDM,PetscObjectGetComm, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PCGetOperators, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,MatCreateVecs, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,MatGetBlockSize, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecDuplicate, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,DMCreateGlobalVector, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecDuplicate, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecGetOwnershipRange, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,ISCreateStride, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecGetLocalSize, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecGetOwnershipRange, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,ISCreateStride, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,ISSetBlockSize, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecCreate, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecSetSizes, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecSetBlockSize, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecSetType, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecScatterCreate, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,VecDestroy, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,printf, DIRECT
PCTelescopeSetUp_scatters_CoarseDM,printf, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscMallocA, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscObjectGetComm, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PCGetDM, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,DMGetCoarseDM, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,KSPSetDM, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,KSPSetDMActive, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,DMKSPGetComputeOperators, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,DMGetApplicationContext, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,DMShellGetContext, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,DMGetApplicationContext, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,DMShellGetContext, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscSNPrintf, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscObjectQueryFunction_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,EMPTYNAME = (any pointer->any pointer@i64 0) :: i32 (%struct._p_DM*, i8**)*, INDIRECT 
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,KSPSetComputeOperators, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,KSPSetDMActive, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscSNPrintf, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscObjectQueryFunction_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscSNPrintf, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscObjectQueryFunction_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
PCTelescopeSetUp_CoarseDM,PetscInfo_Private, DIRECT
PCTelescopeSetUp_CoarseDM,PetscError, DIRECT
