CALLER, CALLEE, CALLTYPE
PCDestroy_TFS,XXT_free, DIRECT
PCDestroy_TFS,PetscError, DIRECT
PCDestroy_TFS,XYT_free, DIRECT
PCDestroy_TFS,PetscError, DIRECT
PCDestroy_TFS,VecDestroy, DIRECT
PCDestroy_TFS,PetscError, DIRECT
PCDestroy_TFS,VecDestroy, DIRECT
PCDestroy_TFS,PetscError, DIRECT
PCDestroy_TFS,VecDestroy, DIRECT
PCDestroy_TFS,PetscError, DIRECT
PCDestroy_TFS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCDestroy_TFS,PetscError, DIRECT
PCDestroy_TFS,printf, DIRECT
PCDestroy_TFS,printf, DIRECT
PCCreate_TFS,PetscObjectComm, DIRECT
PCCreate_TFS,MPI_Comm_compare, DIRECT
PCCreate_TFS,MPI_Error_string, DIRECT
PCCreate_TFS,PetscError, DIRECT
PCCreate_TFS,PetscObjectComm, DIRECT
PCCreate_TFS,PetscError, DIRECT
PCCreate_TFS,PetscMallocA, DIRECT
PCCreate_TFS,PetscLogObjectMemory, DIRECT
PCCreate_TFS,PetscError, DIRECT
PCCreate_TFS,printf, DIRECT
PCCreate_TFS,printf, DIRECT
PCSetUp_TFS,PetscObjectComm, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,PetscObjectTypeCompare, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,PetscObjectComm, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,PetscMallocA, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,VecCreateSeqWithArray, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,VecCreateSeqWithArray, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,VecCreateSeqWithArray, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,PetscBarrier, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,XXT_new, DIRECT
PCSetUp_TFS,XXT_factor, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,XYT_new, DIRECT
PCSetUp_TFS,XYT_factor, DIRECT
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
PCSetUp_TFS,PetscError, DIRECT
PCSetUp_TFS,printf, DIRECT
PCSetUp_TFS,printf, DIRECT
PCSetFromOptions_TFS,printf, DIRECT
PCSetFromOptions_TFS,printf, DIRECT
PCView_TFS,printf, DIRECT
PCView_TFS,printf, DIRECT
PCTFSLocalMult_TFS,VecPlaceArray, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,VecPlaceArray, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,VecPlaceArray, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,MatMult, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,MatMultAdd, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,VecResetArray, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,VecResetArray, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,VecResetArray, DIRECT
PCTFSLocalMult_TFS,PetscError, DIRECT
PCTFSLocalMult_TFS,printf, DIRECT
PCTFSLocalMult_TFS,printf, DIRECT
PCApply_TFS_XXT,VecGetArrayRead, DIRECT
PCApply_TFS_XXT,PetscError, DIRECT
PCApply_TFS_XXT,VecGetArray, DIRECT
PCApply_TFS_XXT,PetscError, DIRECT
PCApply_TFS_XXT,XXT_solve, DIRECT
PCApply_TFS_XXT,PetscError, DIRECT
PCApply_TFS_XXT,VecRestoreArrayRead, DIRECT
PCApply_TFS_XXT,PetscError, DIRECT
PCApply_TFS_XXT,VecRestoreArray, DIRECT
PCApply_TFS_XXT,PetscError, DIRECT
PCApply_TFS_XXT,printf, DIRECT
PCApply_TFS_XXT,printf, DIRECT
PCApply_TFS_XYT,VecGetArrayRead, DIRECT
PCApply_TFS_XYT,PetscError, DIRECT
PCApply_TFS_XYT,VecGetArray, DIRECT
PCApply_TFS_XYT,PetscError, DIRECT
PCApply_TFS_XYT,XYT_solve, DIRECT
PCApply_TFS_XYT,PetscError, DIRECT
PCApply_TFS_XYT,VecRestoreArrayRead, DIRECT
PCApply_TFS_XYT,PetscError, DIRECT
PCApply_TFS_XYT,VecRestoreArray, DIRECT
PCApply_TFS_XYT,PetscError, DIRECT
PCApply_TFS_XYT,printf, DIRECT
PCApply_TFS_XYT,printf, DIRECT
