CALLER, CALLEE, CALLTYPE
MatColoringCreate_Greedy,PetscMallocA, DIRECT
MatColoringCreate_Greedy,PetscLogObjectMemory, DIRECT
MatColoringCreate_Greedy,PetscError, DIRECT
MatColoringCreate_Greedy,printf, DIRECT
MatColoringCreate_Greedy,printf, DIRECT
MatColoringApply_Greedy,MatGetSize, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,MatGetLocalSize, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,MatColoringCreateWeights, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscMallocA, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,GreedyColoringLocalDistanceOne_Private, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,GreedyColoringLocalDistanceTwo_Private, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscObjectComm, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscObjectComm, DIRECT
MatColoringApply_Greedy,MPI_Comm_size, DIRECT
MatColoringApply_Greedy,PetscObjectComm, DIRECT
MatColoringApply_Greedy,MPI_Allreduce, DIRECT
MatColoringApply_Greedy,MPI_Error_string, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscObjectComm, DIRECT
MatColoringApply_Greedy,MPI_Comm_size, DIRECT
MatColoringApply_Greedy,PetscObjectComm, DIRECT
MatColoringApply_Greedy,MPI_Allreduce, DIRECT
MatColoringApply_Greedy,MPI_Error_string, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscObjectComm, DIRECT
MatColoringApply_Greedy,ISColoringCreate, DIRECT
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscLogPLE = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatColoringApply_Greedy,PetscError, DIRECT
MatColoringApply_Greedy,printf, DIRECT
MatColoringApply_Greedy,printf, DIRECT
MatColoringDestroy_Greedy,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
MatColoringDestroy_Greedy,PetscError, DIRECT
MatColoringDestroy_Greedy,printf, DIRECT
MatColoringDestroy_Greedy,printf, DIRECT
MatColoringSetFromOptions_Greedy,PetscOptionsHead, DIRECT
MatColoringSetFromOptions_Greedy,PetscError, DIRECT
MatColoringSetFromOptions_Greedy,PetscOptionsBool_Private, DIRECT
MatColoringSetFromOptions_Greedy,PetscError, DIRECT
MatColoringSetFromOptions_Greedy,printf, DIRECT
MatColoringSetFromOptions_Greedy,printf, DIRECT
MatColoringSetFromOptions_Greedy,printf, DIRECT
MatColoringSetFromOptions_Greedy,printf, DIRECT
GreedyColoringLocalDistanceOne_Private,MatGetSize, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,MatGetOwnershipRange, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscObjectTypeCompare, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscObjectBaseTypeCompare, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscObjectComm, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,MatColoringGetMaxColors, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,VecGetSize, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscMallocA, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscMallocA, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscMallocA, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscObjectComm, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscSFCreate, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,MatGetLayouts, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscSFSetGraphLayout, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscSFBcastBegin, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscSFBcastEnd, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscLogPLB = (any pointer->any pointer@i64 0) :: i32 (i32, i32, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*, %struct._p_PetscObject*)*, INDIRECT 
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscMallocA, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscMallocA, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
GreedyColoringLocalDistanceOne_Private,PetscTrFree = (any pointer->any pointer@i64 0) :: i32 (i8*, i32, i8*, i8*)*, INDIRECT 
GreedyColoringLocalDistanceOne_Private,PetscError, DIRECT
